"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"agency_index__aid"	"investigator_data__name"	"investigator_index__inv_id"
"RES-000-22-1562"	"Effects of thought acceptance, diversion and suppression on food craving"	"http://researchcatalogue.esrc.ac.uk//grants/RES-000-22-1562/read"	"2006"	"2007"	"This study tests a key prediction from Elaborated Intrusion (EI) theory, a major new theory of the mental processes underpinning desire. This theory proposes that episodes of craving (for drugs, alcohol, food, etc.) begin when internal or environmental triggers elicit thoughts about the desired substance that feel spontaneous and intrusive. These thoughts are then elaborated: people imagine indulging their desire. This imagery is momentarily pleasurable but ultimately aversive, highlighting people’s awareness of not having the desired substance. The study tests the hypothesis that intrusive thoughts trigger craving. It compares attempted thought suppression, a common way of trying to cope with craving but one that paradoxically tends to increase craving, with two novel techniques, thought diversion and acceptance. Thought diversion requires participants to imagine an alternative, pleasurable situation, whereas thought acceptance or ‘mindfulness’ trains them to accept the intrusive thoughts and then to ‘let them go’. The prediction is that participants engaging in thought diversion or acceptance will experience fewer intrusive thoughts about snacking, and lower levels of craving, than those instructed to suppress thoughts about food. If this outcome transpires, thought diversion and acceptance could become a part of public education programmes to tackle obesity and use of harmful substances. "	"81"	"Andrade, Jackie"	"-1"
"RES-224-25-0086"	"Sustainable and Holistic Food Chains for Recycling Livestock Waste to Land"	"http://researchcatalogue.esrc.ac.uk//grants/RES-224-25-0086/read"	"2005"	"2008"	"Today farming systems need to be both multifunctional and sustainable. Sustainability 'audits' need to cover both 'upstreaming': the farm to fork and 'downstreaming': the farm to field aspects. Audits of this type are not possible without an integrated approach that brings together both social and economic drivers and the environmental consequences of farmer and policy decisions. In particular, more rigorous research linking microbiological research to public perceptions of risk; actual levels of risk, and public perceptions of 'traceability' in the food chain and water quality is needed. In this project we bring together expertise to determine current perceptions of farmers, retailers, consumers and local 'downstream' industries to the issue of faecal indicator organism (FIO) transfers to watercourses and assess the impacts of changes in management practices (to reduce the risk of FIO transfers) on farm costs and costs to other stakeholder groups and the region as a whole. We will develop an integrated assessment tool to quantify the risk of FIO transfers at the farm-scale to enable targeting of cost effective management practices to reduce FIO transfers. Additional process based research will improve our understanding of the factors controlling FIO survival in soils as well as mechanisms of pathogen transport. "	"81"	"Chadwick, David"	"-1"
"RES-151-25-0035"	"Credibility Claims as Scientific Commodities"	"http://researchcatalogue.esrc.ac.uk//grants/RES-151-25-0035/read"	"2004"	"2006"	"This research looks at how science is associated with products for public consumption. There is a lot of general scientific information about products in the public domain, such as the health benefits of GM or organic foods, but it is often contested between consumer groups, environmental campaigners, companies and governmental bodies and regulators. Some of these debates have been heavily researched by academics, some less so, but very few have been directly related to our everyday perceptions and behaviour as consumers. This research considered how products are supported by and marketed through contested scientific claims, thereby using the scientific credibility of products to analyse how the public, as consumers, perceive and value science in  everyday life. Case studies included products that make: a) claims about the point of origin and conditions of production, eg sustainable wood or fish products; b) claims about the point of consumption and conditions of application, eg smart or functional foods that claim to lower cholesterol levels or promote healthy digestion; c) claims that link conditions of production to conditions of consumption, eg organic food. The methodology included in-depth interviews with producers and verifiers of claims, focus groups with consumers and a card-sorting exercise. "	"81"	"Eden, Sally"	"-1"
"RES-062-23-1272"	"The Diffusion of Intensive Rearing Technologies and the Impact of Food Retailer Interventionism in British Agriculture since 1945"	"http://researchcatalogue.esrc.ac.uk//grants/RES-062-23-1272/read"	"2009"	"2013"	"Despite the widespread belief that leading retailers in the UK enjoy some sort of monopoly power over suppliers of food, the retailers themselves retort that in reality they have been the saviours of British farmers. The study aims to analyse the origins and developments of what are undoubtedly close commercial relations. Using archival evidence and interviews, the study focuses on the introduction of intensive rearing technologies in British white meat farming after 1945, and, comparing with developments in the US and Australia, examines why food retailers intervened in the industry's organisation during its experimental phase, but then stopped short of acquiring ownership interests in the leading producers of intensively reared chicken and pork. Despite enormous controversy, intensive rearing has had a profound impact on meat production and retailing. From negligible beginnings in the early 1950s, poultry and pork meat rose to one third of all meat consumed in Britain by 1990. This will be the first project systematically to study the historical emergence of intensive rearing technologies and their impact on the structure of the British agricultural sector and retailing. It therefore provides much needed historical context to the current concerns about retailer market power. "	"81"	"Godley, Andrew"	"-1"
"PTA-026-27-2682"	"Migrant Organisations in Australia and London: Food, Festival and the Politics of Multiculture"	"http://researchcatalogue.esrc.ac.uk//grants/PTA-026-27-2682/read"	"2011"	"2013"	"The fellowship seeks to consolidate and communicate the results of doctoral ethnographic research on Indonesian organisations in Sydney, Australia, and to synthesise this with subsequent work among Bengali restaurateurs in east London. The research links macro questions of nationalism and identity, with 'everyday' expressions of these concepts in forms of migrants' social practice, such as grant applications, the preparation and presentation of food, and the organisation of festivals. Its focus on groups and organisations, rather than individuals provides an often-overlooked perspective on migrant experience. The research suggests the ongoing importance of nation-states as a reference point for much social experience in a world of transnational movement. It also argues for an improved understanding of migrant organisations, especially given their central role in welfare service provision. The key aims of the fellowship are: to publish high-quality articles in three journals relevant to the field to develop a detailed outline for a monograph based on the doctoral research, but drawing on insights gained from later work to communicate research findings and theoretical arguments to academics in a range of specialist areas, including: migration, Southeast Asia, food and festivals, through attendance of relevant conferences and seminars. "	"81"	"Frost, Nicola"	"-1"
"ES.J012556.1"	"Taking a long view in understanding children and young people's diets"	"http://researchcatalogue.esrc.ac.uk//grants/ES.J012556.1/read"	"2011"	"2014"	"Building on a previous study, this longitudinal mixed methods project aims to map and understand children’s and families’ food practices over time.The recently completed Food Practices and Employed Families with Younger Children (RES-190-25-0010) study analysed the National Diet and Nutrition Survey (NDNS) and other large datasets and drew a sample of working parents and their children (n=48) from the NDNS to consider how parental employment shaped eating habits and the diets of young children and the role different settings and children themselves played. In this follow-on study, in-depth interviews with the same families will be carried out to understand: how children and young people eat the contexts in their lives in which they eat the particular transitions and experiences that children and parents encounter and how these shape diets and food practices over time, including family meals. Secondary analysis of two new waves of NDNS will also be undertaken to consider change and how family meal patterns relate to socio demographic factors and age of child.Through its innovative methodology, linking mixed methods research to a national survey, the study also seeks to contribute to furthering the exploitation of quantitative longitudinal data resources."	"81"	"O'connell, Rebecca"	"-1"
"ES.J009202.1"	"Assessing the Contribution of the Dairy Sector to Economic Growth and Food Security in Malawi"	"http://researchcatalogue.esrc.ac.uk//grants/ES.J009202.1/read"	"2012"	"2015"	"Fractured supply chains have been identified as a barrier to growth for the agricultural sector. In this regard, African agriculture is particularly handicapped. The dairy supply chain was selected for the project because dairy is a key investment sector for the Government of Malawi, donors such USA, Japan and Belgium have focused part of their development aid on the sector, and despite this, domestic production response is still unimpressive and large part of the population do not have access to dairy products of nutritious and safe quality. In this context, the purpose of this project is to address some of the key challenges faced by the chain through an assessment of its operation that can help boost the potential contribution of the sector to economic growth and food security. The methodology of analysis involves several stages from exploring the operation of each one of the parts of the dairy supply chain, identifying problems and proposing solutions, to integrating the different results into a model that will allow simulating the impact of different policy alternatives. The project is multidisciplinary and builds on the existing academic link between SAC and Bunda College of Agriculture in Malawi. "	"81"	"Revoredo-Giha, Cesar Luis Jorge"	"-1"
"RES-000-22-2289"	"Enlisting the help of friendly bacteria: Probiotics and visions of health, nutrition and science in a modern world"	"http://researchcatalogue.esrc.ac.uk//grants/RES-000-22-2289/read"	"2007"	"2008"	"As a nation, People in the Uk are taking and eating more and more probiotics - live micro-organisms (usually bacteria) - which are ingested to exert a positive effect on health beyond traditional nutritional effects. The project will shed light on how the meaning of this novel food is negotiated in the accounts of members of the public, in promotional literature, in media coverage and government documents in the context of food scares, health scares and nutritional uncertainty. It will examine how discourses may be shaped by recent healthy eating campaigns, high profile food scandals (BSE, GMOs), the threat from 'unfriendly bacteria' (salmonella, listeria, Ecoli including 'superbugs' such as MRSA and Clostridium difficile) and issues of cleanliness, as well as changes in the political landscape where germs can be unleashed as ‘weapons of mass destruction’. Exploring the meaning of probiotics in this context will fill in one piece in a complex jigsaw puzzle that involves germs, antibiotics, hygiene, disease and nutrition.  The overall aim is to explore what visions of health, science and society are built into probiotics as a ‘new’ type of food. The project will complement studies that focus on public perception of food risks by examining the social construction of food 'benefits'. "	"81"	"Nerlich, Brigitte"	"-1"
"RES-167-25-0187"	"FACTOR ENDOWMENTS, BIASED TECHNOLOGICAL CHANGE, WAGES AND POVERTY REDUCTION: CAN GENETICALLY MODIFIED CROPS BRING A GREE"	"http://researchcatalogue.esrc.ac.uk//grants/RES-167-25-0187/read"	"2006"	"2008"	"Agricultural productivity growth increases the incomes of farmers and lowers food prices, benefiting both the rural and urban poor who spend much of their incomes on food. The labour-using green revolution reduced poverty in land scarce, labour abundant Asia, but has not had sustained impacts in SSA, where scarce factor is often labour.  Now, herbicide tolerant, genetically modified (GM) white maize, is being adopted by resource-poor smallholders in KwaZulu Natal.  Whereas the Green Revolution was land saving and labour using, GM maize halves labour at planting time. If there is no land to allow expansion, employment could be halved and poverty increased, but if planting labour is the bottleneck and land is not scarce, expansion can double output, increase employment in all the other seasons and reduce poverty. So determining the factor scarcities in SSA is essential for policy makers to know if GM will result in output expansion or labour displacement. This project will try to answer this question by combining a study of the past impacts of biased technical change and factor endowments with surveys of the impacts of GM maize on employment and the incomes of small farmers in southern Africa. "	"81"	"Thirtle, Colin"	"-1"
"RES-224-25-0090"	"Integration of Social, Natural Sciences to Develop Improved Tools: Assessing and Managing Food Chain Risks"	"http://researchcatalogue.esrc.ac.uk//grants/RES-224-25-0090/read"	"2005"	"2008"	"A key concept within risk management is uncertainty which needs to be handled both at a statistical level within technical risk assessment and exposure models; but also needs to be understood within the two-way interaction with various stakeholders as part of the risk management process. Stakeholders may vary from specialist risk managers through to members of the public. What has been lacking in this research area in the past is the integration between the best available modelling of technical risk assessments with social science inputs on participation processes, consumer behaviour and effective risk communication. The project will be based on three case studies representing different types of risk: chemical contamination, microbial contamination and a crisis scenario. At a technical level procedures will be used to model not only the risk to members of the public but also to develop measures of the uncertainties in those estimates of risk, taking account of interactions throughout the food chain and also the likely impact of risk information on consumer behaviour. The best ways of communicating risks both to members of the public and risk managers will be investigated and throughout the research stakeholder groups will be involved both to define the interfaces needed and to evaluate the outcomes from the project. "	"81"	"Shepherd, Richard"	"-1"
"ES.J01754X.1"	"Institutional Arrangements in Land Deals in Africa: Local Impacts of Global Resource Scarcity"	"http://researchcatalogue.esrc.ac.uk//grants/ES.J01754X.1/read"	"2012"	"2015"	"Many investors have responded to recent food price hikes and volatile oil prices by acquiring large tracts of African farmland as a new base from which to supply growing markets. In the process, land uses change and existing populations are often displaced. The livelihood impacts of such investments depend on the terms of land access and institutional arrangements or farming models that structure them. This research investigates three models: corporate plantations/estates clusters of large commercial farms smallholder outgrower schemes, in Ghana, Kenya and Zambia. This comparative study explores: How do the deals affect people’s resource access, and what forms of accumulation are occurring? What are the socially-differentiated livelihood and food security impacts of different kinds of land transactions? Methods include document analysis, financial analysis and multi-scale interviews relating to each case. Rooted in gender analysis, similar quantitative and qualitative methods will be used at the nine study sites including key informant and semi-structured interviews, focus groups, rapid appraisal techniques, and a standardised quantitative household survey. By systematically analysing the differentiated impacts of different models of investment, the research aims to contribute to on-going policy debates about the impacts of and responses to the African ‘land rush’."	"81"	"Hall, Ruth"	"-1"
"RES-062-23-0642"	"Genetics, genomics and genetic modification in agriculture: emerging knowledge-practices in making and managing farm livestock."	"http://researchcatalogue.esrc.ac.uk//grants/RES-062-23-0642/read"	"2007"	"2010"	"This project examines the implications of genetic/genomic science for livestock breeding knowledge-practices. Advances in genetic/genomic science, including genetic ‘merit’ assessments, genetic markers and genetic modification, herald a 'new era' – even a 'revolution' - in livestock breeding, according to the scientists involved. This presents opportunities for addressing important questions about the relationships between scientific and lay knowledge-practices, the restructuring of power relations and social relations and identities in agriculture, and animal-human relationships. Focusing on sheep and beef cattle, the research will examine how livestock breeding knowledge-practices and geographies of livestock breeding are being reconfigured in relation to emerging genetic/genomic knowledge-practices. Three specific objectives follow: to examine the relationships between an emerging genetic/genomic science of livestock and lay livestock breeding knowledge-practices; to assess how breeder identities, farm businesses and human-animal relationships are being affected by genetic/genomic science; and to examine the roles of different actors in emerging livestock breeding networks associated with genetic/genomic science and the circulation of genetic/genomic knowledge through these networks.  "	"81"	"Holloway, Lewis"	"-1"
"RES-229-25-0012"	"REDUCING ESCHERICHIA COLI O157 RISK IN RURAL COMMUNITIES"	"http://researchcatalogue.esrc.ac.uk//grants/RES-229-25-0012/read"	"2007"	"2011"	"This RELU (Rural Economy and Land Use) project brings together the disciplines of geography, sociology, economics, medicine, microbiology, ecology and food science to carry out the research needed to advise a range of stakeholders with the scientific information needed to reduce the risk of human Escherichia coli O157 infection in UK rural communities.  Current outbreaks of human diseases and food safety concerns caused by food borne pathogens such as E. coli O157 flag a serious lack of knowledge and understanding about the factors which determine the numbers and spread of these human food-borne pathogens in rural and agricultural environments. The pathogens mainly enter the food chain from faecal contamination of meat products, but there are an increasing number of outbreaks linked to direct contact with contaminated water, soil and livestock. This project studies the key pathogen E. coli O157 which has been identified by the Food Standards Agency as posing a major risk to human health. It is also a threat to visitors and tourists in countryside areas. Through 6, integrated work packages, and the use of 2 case study areas (NE Scotland and N Wales), the research will provide information to ensure rural policies minimise the risks to rural communities from E. coli O157. "	"81"	"Strachan, Norval"	"-1"
"T026271266"	"Postdoctoral Fellowship"	"http://researchcatalogue.esrc.ac.uk//grants/T026271266/read"	"2002"	"2003"	"The Colours of Things This project involves the writing up in manuscript form of my research on colour practices among Aboriginal people, Pitjantjatjara and Yankunytjatjara, in the centre of Australia. This study is an academic ethnography focusing on how people use material items in contemporary life. These include cars, clothing, store bought foods as well as foods gathered from the land. The manuscript and intended book, is also intended to show why colours are an important and powerful part of social and cultural life everywhere. This is explored through the systematic unravelling of the ways colours work for us. The importance of colour as a surface attribute of things and the mutability of colours in relation to one another is especially central. Other properties of colours include their ability to evoke space, brightness and shine, their connection to emotions and to other senses in the condition known as synaesthesia, the analogical role of colours and their ability to transform things and people. This research also concerns value transformation through colours. The finished book is intended to appeal to art and cultural studies students as well as to interested lay persons. A large number of colour plates will be included"	"81"	"Young, Diana"	"-1"
"ES.J018090.1"	"Impact assessment based on self-reported attribution in complex contexts of rural livelihood transformations in Africa."	"http://researchcatalogue.esrc.ac.uk//grants/ES.J018090.1/read"	"2012"	"2015"	"How can the impact of development activities intended to benefit poor men, women and children caught up in complex processes of rural transformation best be assessed? The research sets out to develop and evaluate a protocol for impact assessment based on self-reported attribution without the use of comparison groups as an alternative to experimental or quasi-experimental designs based on statistically inferred attribution. The three year project, starting in September 2012, is led by James Copestake at the University of Bath, and being conducted in collaboration with three NGOs - Self Help Africa, Farm Africa, and Evidence for Development. It is jointly funded by the UK Economic and Social Research Council (ESRC) and Department for International Development DFID. The research has three strands that will be applied to four projects: two in Ethiopia and two in Malawi. Strand 1 comprises a baseline and two rounds of annual monitoring of food security and income at the household level by NGO staff. Strand 2 comprises two rounds of annual in-depth interviewing to elicit self-reported attribution from intended project beneficiaries. Strand 3 comprises two rounds of qualitative evaluation of what Strand 2 added to the understanding of project stakeholders."	"81"	"Copestake, James"	"-1"
"RES-000-22-2672"	"Alternative Food Provision and the Agroindustrial Complex: an ethnographic exploration of organics in Andalusia."	"http://researchcatalogue.esrc.ac.uk//grants/RES-000-22-2672/read"	"2008"	"2009"	"This research documents the oppositional politics and cultural values inspiring alternative systems of food provision in southern Spain, and interrogates the relation between those values and market rationality.  Much important work in this field to date has focussed on the capacity of mainstream agriculture to generate profit from alternatives, such as organics.   One outcome of this approach is that the values that inspire the alternatives in the first place are lost to view.  The project builds on recent work in economic anthropology and uses ethnographic methods to explore how participants negotiate the requirement to find markets and sustain livelihoods, while adhering to the cultures and politics that make alternatives imaginable in the first place.   Beginning with a group of organic farmers in Andalusia, where there is a particular history of opposition to industrial agriculture, the research traces connections between producers, retailers and consumers and documents their commitment to such things as localism and regionalism, anti-capitalist politics, and traditions of self-provisioning and peasant culture.  By understanding such values in specific contexts we will generate knowledge about the complex interaction between the alternatives and the mainstream, both in the field of values and in relation to economic viability. "	"81"	"Luetchford, Peter"	"-1"
"RES-185-31-0004"	"Reward for Performance (Business Engagement Award)"	"http://researchcatalogue.esrc.ac.uk//grants/RES-185-31-0004/read"	"2007"	"2008"	"Pigs to Pork: supply chain issues in meat production and retailing  Against the background of a declining national herd and profits crisis in UK pig meat production and processing, this project aims to analyse the meat supply chain from pig farm to dinner plate. It will provide an accounting analysis of different chains to supplement information from standard statistical sources and interviews with all the key actors. Financial results and drivers of behaviour will be related to business models, so as to raise questions about the buyer driven business model favoured by most of the big supermarket chains. Does vertical disintegration embed inefficiencies and transaction costs which are not visible in supermarket accounts; and is the distinctive Morrisons model of integrated meat processing a viable alternative? All this is set in the context of argument and evidence about broader issues including rising imports, welfare standards and food security. Vion Food Group Limited, Britain’s largest pig producer and a major supplier of own brand meat products to the supermarket chains, has joined the ESRC in co-funding this project whose outputs will include a major public interest report."	"81"	"Williams, Karel"	"-1"
"RES-224-25-0048"	"Biological Alternatives to Chemical Pesticide Inputs in the Food Chain: An Assessment of Sustainability"	"http://researchcatalogue.esrc.ac.uk//grants/RES-224-25-0048/read"	"2004"	"2007"	"UK farmers and growers are challenged with adopting environmentally acceptable methods of pest control while maintaining quality, productivity and profitability. This project will provide new understanding of the environmental and regulatory sustainability of deploying inundatively applied biological control agents (aka biopesticides) as alternatives to chemical pesticides. This will be addressed using entomopathogenic fungi to control aphids in leafy salad crops, a system of which the consortium has considerable expertise. The project comprises four linked objectives: to assess the obstacles to regulatory innovation for environmentally-friendly pest control within a model of the regulatory state to improve understanding of the environmental behaviour of biopesticides in relation to entomopathogen local adaptation to assess the benefit / cost contributions of biopesticides to sustainability, given constraints imposed by existing decision-making networks to compare the private governance model of pesticide reduction in the UK with its legislatively driven counterpart in Denmark. By improving understanding of key natural and social science factors affecting the deployment of alternatives to chemical pesticides, and by entering into dialogue with principal actors in the pesticide regulation system, this project will progress sustainability goals for the UK rural economy across the whole of the food chain. "	"81"	"Grant, Wyn"	"-1"
"RES-224-25-0018"	"Designing and Implementing Large Scale Experiments in Land Use"	"http://researchcatalogue.esrc.ac.uk//grants/RES-224-25-0018/read"	"2004"	"2005"	"Perturbations in climate, technology, and the variation in subsidy systems brought about by CAP and WTO reform, have the potential to cause landscape-scale changes in farming systems. In particular the total area and spatial distribution of land in different food and non-food crops, or assigned to different land management schemes, may change markedly. A key issue that emerges from this is to define the most appropriate way to distribute these different land use categories to achieve biodiversity, environmental, production and socio-economic benefits. To address this issue requires large scale, experimental approaches. This scoping study will consider what is the most appropriate protocol of such experimental studies. It will consider the design, treatments, benefits, limitations and constraints on large-scale experiments that manipulate the spatial distribution of land use. It will compare and contrast the manipulative experiment approach with information that can be obtained from observational studies of non-experimental existing changes in land use and from modelling approaches. The end product will be a set of guidelines defining appropriate protocols for the analysis of the effects of changes in the spatial distribution of alternative land uses on environmental and socio-economic factors."	"81"	"Thomas, Matthew"	"-1"
"ES.J009989.1"	"Sustainable Carbon Counters"	"http://researchcatalogue.esrc.ac.uk//grants/ES.J009989.1/read"	"2011"	"2012"	"The objective of this project is to use expertise from Computer Science, Economics, Carbon Profiling and Sociology to develop a sustainable mobile phone application to facilitate the empirical exploration of everyday activities - especially food shopping - surrounding carbon emissions (particularly, food choices) and thereby provide opportunities to impact on individual and family choice to reduce our carbon footprint. There is currently a lack of robust tools and data about the carbon impact of our lifestyles and more widely available generic knowledge is often hard to apply to the specifics of our own lives. Our intention is to develop a mobile app that tracks user choice to build a `rich profile' of the impact of their lives in terms of carbon externality which can also be deployed for identifying and informing users of `critical moments that have impact' -acting as both a 'technology probe' to engage users in a dialogue to raise awareness and offer resources for understanding their carbon profile; and as a form of 'nudge' to facilitate informed choice. "	"81"	"Rouncefield, Mark"	"-1"
"ES.J009113.1"	"Policy and Practice for Environmental Change"	"http://researchcatalogue.esrc.ac.uk//grants/ES.J009113.1/read"	"2012"	"2016"	"The Rural Economy and Land Use (Relu) Programme is an unprecedented collaboration between ESRC, BBSRC and NERC. Running 2003-13 it has had a budget of £24 million, with additional funding from Scottish Government and Defra. Relu's aim is to provide evidence, supported by inter-disciplinary research, that can be used to inform policy and practice, and the programme has considerable relevance, not only for rural land use. It has been a radical experiment in project and programme management and capacity building for interdisciplinarity and knowledge exchange, involving three research councils, 85 projects (each involving social and natural scientists), 50 research institutions, 500 researchers, 40 disciplines and over 4000 stakeholders engaged extensively in framing, conduct and dissemination of the research. External interest in the programme has always been strong and enthusiasm for learning lessons from the programme continues. This one year extension to the Director's Office is to further realise the impact of the research on policy and practice and to inform research and knowledge exchange policy and emerging Research Council programmes (such as Living with Environmental Change and Global Food Security). Planned communication activities include synthesised publications extracting the policy and practice implications of Relu research. "	"81"	"Phillipson, Jeremy"	"-1"
"ES.J007455.1"	"TRANSPORT AND TECHNOLOGY"	"http://researchcatalogue.esrc.ac.uk//grants/ES.J007455.1/read"	"2011"	"2013"	"In transport studies, the technologies receiving most attention are direct transport system operations and those involving some replacement for travel. This Project's starting point is that there are 'non-transport technologies' that also significantly shape travel patterns. Overall the Project presumes that social, professional and business practices orchestrate how travel intermittently occurs; and that such practices are in turn shaped by technological developments in many domains.Thus advances in building construction made it economic to build out-of-town shopping centres; and the domestic freezer made it possible to store food and facilitated weekly car-based shopping. Although such technologies are not designed to affect transport directly they give rise to extensive unintended consequences for diverse social practices and hence for travel patterns. We examine many ways in which such technologies embed themselves within existing or new social, professional and business practices and thus transform travel. This Project therefore aims first, to understand how non-transport technologies have impacted and are impacting especially indirectly upon travel, and second, to understand how practices and time-space patterns of activity could be (re)shaped by various new technologies so generating lower carbon alternatives. Focus will be upon likely future developments and scenarios within work, retailing, leisure, food and ageing. "	"81"	"Urry, Distinguis John"	"-1"
"RES-167-25-0195"	"Governance Implications of Private Standards Initiatives in Agri-Food Chains"	"http://researchcatalogue.esrc.ac.uk//grants/RES-167-25-0195/read"	"2007"	"2007"	"Suppliers in agri-food chains are required to comply with an ever-growing set of standards to secure market access. Many standards are ‘voluntary’ and have been developed and overseen by organisations from the private sector, sometimes working with non-governmental organisations (NGOs), to promote food safety and quality, good agricultural practice and labour standards. This project is concerned with private standards initiative s (PSIs) developing and monitoring these standards particularly those in developing countries.   Focusing on agri-food chains originating in Kenya , the aim is to explore what these standards and initiatives mean for 'governance' or the exercise of power.   It explores what PSIs mean for regulation, how sustainable they are and how accessible and effective they may be for poor farmers and workers. The project will develop a conceptual framework for the analysis of PSIs drawing on value chain analysis and approaches to regulation. The field work will involve in-depth qualitative study of selected Kenyan PSIs and their stakeholders using semi-structured interviews, focus groups and workshops with NGOs, government officials, horticulture firms, workers and smallholder farmers as well as European retailers and standards institutions. Focusing on fresh vegetables and cut flowers from Kenya, the project explored what private standards and initiatives mean for 'governance' or the exercise of power. It explored the power relations amongst different groups participating in or excluded from Private Standards Initiatives (PSIs) with a view to identifying which actors were most powerful and how roles were changing. The powerful role of retailers and exporters in PSIs has been highlighted, but also how new actors such as donors, NGOs (international and national), researchers and auditors have played a role in shaping these initiatives. We showed how smallholders and workers have been effectively excluded from the debates and how NGOs that seek to speak for smallholders and workers have also been constrained. The dominant narratives of retailers have shaped views of potential solutions, whilst local priorities and alternative narratives have been sidelined or remain unarticulated. Our fieldwork in Kenya demonstrated the limited ability of PSIs to instigate transformative change. There have been some improvements in how labour rights and good agricultural practices standards have been implemented and some changes to standards and audits, but transformational change has been absent. Agriculture, Food & Fisheries"	"81"	"Tallontire, Anne"	"-1"
"RES-588-28-0001"	"The STEPS (Social, Technological and Environmental Pathways to Sustainability) Centre"	"http://researchcatalogue.esrc.ac.uk//grants/RES-588-28-0001/read"	"2011"	"2016"	"The STEPS Centre aims to become a global hub for interdisciplinary research and policy engagement to meet two key challenges: Linking environmental sustainability with better livelihoods and health Making science and technology work to reduce poverty and increase social justice. The Centre will develop and apply a unique 'pathways approach' that combines development with science and technology studies, and interweaves socio-political technological and ecological change while acknowledging dynamic systems and diverse local conditions. Research projects developed with partners in Asia, Africa and Latin America will link three domains: Food and agriculture Health and disease Water and sanitation with three themes: Dynamics: how interlinked processes of social, technological and environmental change create possibilities for alternative pathways to sustainability. Governance: how institutional, political and policy processes across global and local scales enable or constrain different pathways to sustainability. Designs: how decision-making procedures, appraisal methods and analytical tools can enhance citizen engagement and the negotiation of pathways to sustainability under uncertainty. Through cross-cutting analysis, targeted communications and policy-engagement activities, and concerted training and capacity building efforts, STEPS aims to connect the development of new theory with practical approaches that create opportunities for poorer and marginalised people. "	"81"	"Scoones, Ian"	"-1"
"RES-000-23-0087"	"Effects of Stress on Eating Behaviour: An Integrated Approach"	"http://researchcatalogue.esrc.ac.uk//grants/RES-000-23-0087/read"	"2003"	"2005"	"The study aims to clarify the relationship between stress, eating and health risk. Poor diet is thought to be a major factor in a range of diseases including heart disease and cancer. Previous research has also suggested links between stress and eating. For example, people may comfort-eat fatty foods and snacks or they may simply eat less. Little is known about the nature of this relationship. The study will shed light on the processes involved by clarifying what types of stressors affect diet, how diet changes and what individual differences there are in eating behaviours in response to stress. Four hundred employees working in a range of occupations will complete daily diary questionnaires over a four week period. In addition detailed measures of diet, weight, personality and demographic factors will be taken at the outset "	"81"	"O'connor, Daryl"	"-1"
"RES-145-28-0001"	"ESRC Centre for Genomics in Society (Egenis)"	"http://researchcatalogue.esrc.ac.uk//grants/RES-145-28-0001/read"	"2007"	"2013"	"EGENIS exists to conduct a wide range of high quality research into the social impact of the rapid contemporary developments in genomic sciences, and to make the results of this research readily accessible to policymakers and the public. EGENIS is committed to informing its research with state of the art philosophical and sociological understanding of genomic science, and to exploring the diverse meanings of genomic terminology to scientists, professional groups concerned with applications of genetic knowledge (such as lawyers, clinicians, and a range of agents in the food chain) and to the general public. "	"81"	"Dupre, John"	"-1"
"ES.J023477.1"	"UK Data Service"	"http://researchcatalogue.esrc.ac.uk//grants/ES.J023477.1/read"	"2012"	"2017"	"The UK Data Service will provide a ""one-stop-shop"" for suppliers and users of social science data. Users will come to the UKDS website to search for and browse data collections created by a wide range of data suppliers, including government data, data produced by IGOs and data from ESRC-funded research projects, and will be able to seamlessly access or download data for their own use. User registration will be provided to tailor the Service to the needs of users and to ensure that all licensing arrangements are correctly managed. The Service will ensure that access to personal data is maintained appropriately by secure access facilities to sensitive data for trusted and Approved researchers. The UKDS will provide a complete data service infrastructure including: training in research data management and data analysis and support in how to interpret and use the data selecting highest quality and highest value data for long-term preservation and access ensuring relevant materials are provided to maximise the long-term research potential of these data seamlessly interfacing with institutional repositories providing resource discovery mechanisms, to find relevant data not just data held by the Service."	"81"	"Woollard, Matthew"	"-1"
