"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"agency_index__aid"	"investigator_data__INSTITUTION"
"RES-224-25-0110"	"Making Interdisciplinarity Work"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0110"	"2004"	"2005"	"For interdisciplinary collaborations to work well, what are the processes involved in interdisciplinary research? Which research outcomes and formats best address stakeholders’ requirements? And what are the challenges for refereeing and publishing interdisciplinary research findings?"	"Durham University"	"Bell, Sandra"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0100"	"Relu: The International Context"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0100"	"2004"	"2005"	"International programmes which share common aims and objectives to RELU identify leadership, participant commitment, respect, trust, time, resources and common frameworks as being important to make interdisciplinarity work. Barriers to interdisciplinary research include poor career rewards, the nature of funding cultures and a lack of trust between participants from different disciplines."	"University of York"	"Raffaelli, David"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0105"	"Review of French Initiatives in Rural Economy and Land Use Research"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0105"	"2005"	"2007"	"This research is reviewing and assessing current and recently completed scientific research programmes in France into issues of rural economic development and land use policy. In addition to providing a comparative assessment of French research and the aims and objectives of the RELU programme, with a view to identifying areas of common interest and approach or areas where significant differences exist, the research examines the nature of interdisciplinary formations and configurations in the French programmes under study with a view to understanding how national constructions of scientific communities and disciplines differ within the field of rural economic and land use research. The research will additionally seek to identify specific instances and examples of innovation and ‘cutting edge’ research in both the social and natural sciences. Finally, the research is proselytising in France the research being undertaken through the RELU programme."	"University of Exeter"	"Buller, Henry"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0002"	"Modelling Interactions of Climatic and Agricultural Change on Diffuse Pollution"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0002"	"2004"	"2005"	"Exploring the possibilities and problems of developing a modelling framework to consider the interlinked environmental phenomena of climate change, low river flows, and non-point pollution from agriculture."	"University of Stirling"	"Hanley, Nick"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0081"	"Integrated Approaches to Sustainable Catchment Management"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0081"	"2004"	"2005"	"What are the needs of policy makers’ on how to conceptualise and achieve integrated catchment management (ICM)? How can knowledge be integrated and different values and interests assessed? Researchers and policy makers share experiences and expertise."	"Macaulay Institute"	"Spash, Clive"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0087"	"Integrated Modelling and Assessment of Agricultural Sustainability"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0087"	"2004"	"2005"	"Can a sustainability assessment framework be developed, implemented through an integrated modelling approach, to facilitate the assessment of agricultural systems and agricultural, environmental and land-use policies."	"The James Hutton Institute"	"Matthews, Keith"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0031"	"Learning from US and European Experience in Catchment Management"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0031"	"2004"	"2005"	"Can water management measures deployed in the eastern seaboard of the USA and the nearby European continent, such as watershed agricultural programmes for water quality protection and sustainable abstraction, be implemented in the UK. Common features of success are land management changes achieved through voluntary agreements supported by appropriate regulation, financial incentives and public awareness creation"	"Imperial College London"	"Cook, Hadrian"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0003-A"	"Holistic Understanding of Diffuse Rural Pollution"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0003-A"	"2004"	"2005"	"Bringing together natural and social science perspectives to broaden our understanding of the causes and consequences of diffuse agricultural pollution, considering all land management activities that impact upon the quantity and quality of water in our rivers and groundwater, as well as the organisms that live within them."	"Lancaster University"	"Heathwaite, Louise"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0095"	"Building Capacity to Investigate the Potential Role of Sustainable Agricultural Intensification in Agro-ecological systems"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0095"	"2004"	"2005"	"The global agro-ecosystem must deliver increasing levels of food production from a non-expanding stock of land, water and other natural resources. To achieve this without degrading or destroying the bio-ecological foundations on which agricultural productivity depends, sustainable intensification may be a solution. What are the ecological implications of sustainable intensification and the ecological mechanisms needed to support it? Which alternative economic incentive structures could support sustainable intensification?"	"University of Manchester"	"Russell, Noel"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0099"	"Integrating Spatial Data on the Rural Economy, Land Use and Biodiversity"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0099"	"2004"	"2005"	"The emphasis of government policy on sustainable development has highlighted the importance of maintaining and enhancing biodiversity on local, regional and national scales. But this objective must be set against significant policy changes that are altering the shape of the rural economy. Understanding the links between biodiversity and economy is therefore important. However, this has been hindered in the past because ecological and socio-economic data are collated in different ways. The aim of this project is to use a new technique within a Geographical Information System to bring these different data sources together, to allow us to investigate the relationships between biodiversity (birds and mammals) and agricultural production at different scales. This integrative approach has the potential to be of considerable value in informing policy in rural areas over the next 10-20 years. It will be of benefit to government departments at both national and regional levels, and nature conservation organisations. The indirect benefits will also extend to local communities and volunteers who collect data on the distribution and abundance of species in the countryside."	"University of York"	"White, Piran"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0107"	"Soils - the Foundation of the Rural Economy"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0107"	"2004"	"2005"	"The soil beneath our feet is something most of us take for granted. However, it is a precious resource that governs agricultural sustainability and environmental quality both locally and globally. It is the foundation for all rural land use and, through the industries and businesses directly and indirectly dependent on it, affects the viability of the rural economy. Through a series of regional meetings, a range of stakeholder perceptions of the value of soil in a regional context across the UK was determined, with an inclusion of socio-economic effects."	"Scottish Agricultural College"	"Watson, Christine"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0113"	"Learning from the South: Mixed Farming in Stressed Environments"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0113"	"2004"	"2005"	"This study informs the RELU programme by setting and addressing a range of key questions concerning the transfer of experience of agricultural research and practice in Europe and developing areas to the UK. Placing the focus on understanding the ‘process-related’, rather than ‘place-based’ dimensions of best practices and experiences from elsewhere could have beneficial results for UK policy, planning and research."	"University of Sheffield"	"Twyman, Chasca"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0009"	"Co-operative Management of the Agricultural Environment"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0009"	"2004"	"2005"	"Would the UK benefit from extending and developing ‘group application’ options within agri-environment schemes? Is there a role for organisations like the Dutch Environmental Co-operatives in helping to further integrate farming and environmental objectives and thereby improve the environment?"	"Newcastle University"	"Franks, Jeremy"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0037"	"Data Resources for Rural Sustainability Research"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0037"	"2004"	"2005"	"Which issues relating to data availability, data management and data integration are relevant to the aims of the Relu programme? Which large-scale datasets do Relu researchers require and how accessible are they? Which solutions and services can Relu provide to address such issues?"	"Central Science Laboratory"	"Boatman, Nigel"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0068"	"Development of a Landscape Intervention Decision Support System (LIDSS) to Maximise Net Social Benefit"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0068"	"2004"	"2005"	"How can agri-environmental work be directed across landscapes to maximise the net environmental benefits of agricultural costs? How can we make sure that changes in biodiversity are proportionate with monetary costs, in terms of wildlife populations changes, the probability of participation by landowners, the use of the area by local people and how that might bias decisions?"	"University of Oxford"	"MacDonald, David"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0084"	"Learning and Research for Sustainable Ecosystems by both Farmers and Scientists"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0084"	"2004"	"2005"	"How do organic farmers innovate, learn and develop farming systems that are best suited for their land and the context of their farming enterprise? How do research scientists carry out whole farm agro-ecosystems research? And how can farmers and researchers collaborate?"	"Middlesex University"	"Lyon, Fergus"	"-1"	"-1"	"87"	"-1"
"RES-224-25-0018"	"Designing Large Scale Experiments in Land Use"	"http://relu.data-archive.ac.uk/explore-data/search-browse/project/?ID=RES-224-25-0018"	"2004"	"2005"	"Perturbations in climate, technology, and the variation in subsidy systems brought about by CAP and WTO reform, have the potential to cause landscape-scale changes in farming systems. What is the most appropriate way to distribute these different land use categories to achieve biodiversity, environmental, production and socio-economic benefits? And what experimental and modelling approaches are necessary to understand how biodiversity and socio-economic factors respond to large-scale changes in the spatial distribution of land use?"	"CSIRO Entomology"	"Thomas, Matt"	"-1"	"-1"	"87"	"-1"
