"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"institution_data__INSTITUTION_ADDRESS1"	"institution_data__INSTITUTION_CITY"	"institution_data__INSTITUTION_COUNTRY"	"institution_data__INSTITUTION_ZIP"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"agency_index__aid"	"comment"
"Synergy project"	"Laboratory detection of Cryptosporidium parvum in foodstuffs - an inter–laboratory evaluation study"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Laboratory-detection-of-Cryptosporidium-parvum-in.aspx"	"2003"	"2004"	"Scientific knowledge on the prevalence of Cryptosporidium parvum and methods for the detection of the organism in food are still limited. Considered to be an emerging pathogen in Europe’s food and water chain, the actual risk it poses has yet to be fully determined. This project involved the development of an optimised protocol for the detection of Cryptosporidium parvum in vegetables for routine laboratory testing.The laboratories involved tested over one thousand samples of locally grown lettuce for this intestinal parasite. The occurrence was determined to be low (2% of samples); nonetheless, it highlighted the requirement for horticultural producers of lettuce to evaluate their HACCP systems to prevent contamination with this parasite."	"Northern Ireland Public Health LaboratoryDr Fiona Kenny"	""	"Sligo Public Health Laboratory"	""	""	"Moore, John"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Laboratory-detection-of-Cryptosporidium-parvum-in.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-RESR-001"	"Epidemiological assessment of Mycobacterium avium subsp. paratuberculosis (MAP) in target herds"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Epidemiological-assessment-of-Mycobacterium-avium.aspx"	"2003"	"2004"	"This research was commissioned in order to carry out follow-up veterinary investigation of suspect Mycobacterium avium subsp. paratuberculosis (MAP)-positive herds identified in an earlier safe food project.The objectives of this research were:"	"Cork County Council"	""	""	""	""	"Buckley, Jim"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Epidemiological-assessment-of-Mycobacterium-avium.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"02-PG-029"	"Incidence and survival of potential human pathogens in the production of the common cultivated mushroom (Agaricus bisporus)"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Incidence-and-survival-of-potential-human-pathogen.aspx"	"2002"	"2006"	"This project investigated the prevalence and potential risk of human pathogenic bacteria in cultivated mushrooms. Bacteria play an important role in the production of the mushroom fruiting body but other microorganisms, which cause mushroom disease, are still prevalent, despite prevention and control procedures. This gave rise to concerns that microbes harmful to humans may also be present. This research was especially timely considering the increase in consumption of ready-to-eat vegetables."	"University of Ulster"	""	"Coleraine"	""	""	"Naughton, Patrick"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Incidence-and-survival-of-potential-human-pathogen.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"00-RESR-060"	"Development of rapid tests for the detection of Mycobacterium paratuberculosis and their use to determine survival in food matrices"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Development-of-rapid-tests-for-the-detection-of-My.aspx"	"2001"	"2004"	"This project was run in collaboration with Food Institutional Research Measure (FIRM), examined a number of aspects of MAP. The project involved a survey of faeces and milk from high-risk herds using culture-based and molecular detection methods.The project also aimed to develop rapid methods for the detection of MAP in milk and other dairy products. The effect of different pasteurisation conditions on survival of MAP in milk was also under investigation."	"National Diagnostics Centre"	""	"Galway"	""	""	"Maher, Majella"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Development-of-rapid-tests-for-the-detection-of-My.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"00-RESR-046"	"Detection and molecular characterization of selected pathogenic organisms isolated from unpasteurised milk using milk filters"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Detection-and-molecular-characterization-of-select.aspx"	"2001"	"2004"	"Surveys have shown that a substantial proportion of farm families in the Republic of Ireland consume raw milk. This practice is inadvisable because of the risk of pathogenic microorganisms being present in the milk.As well as completing a survey of raw milk consumption by farm families, this study determined baseline values for the incidence of a number of pathogens including Mycobacterium avium subsp. paratuberculosis (MAP), Verocytotoxigenic Escherichia coli (VTEC), and Salmonella species in unpasteurised milk in commercial dairy herds in the Cork region of Ireland.  "	"Cork County Council"	""	""	""	""	", "	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/Detection-and-molecular-characterization-of-select.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"00-RESR-105"	"A harmonised system for approval and monitoring private laboratories testing for foodborne pathogens"	"http://www.safefood.eu/Professional/Portfolio/1-Microbiology/A-harmonised-system-for-approval-and-monitoring-pr.aspx"	"2005"	"2008"	"This project aimed to develop an agreed protocol for approval and monitoring testing for foodborne pathogens in private laboratories. The project organised a number of all-island inter-laboratory proficiency testing trials, as well as the development of a database of Salmonella tests and the compilation of a collection of isolates. This database and collection has been extended to include other bacteria."	"Department of Agriculture"	""	"Dublin"	""	""	"Egan, John"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/1-Microbiology/A-harmonised-system-for-approval-and-monitoring-pr.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-2013"	"Protecting consumer choice: ensuring the provenance of artisan foods produced on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Protecting-consumer-choice-ensuring-the-provenanc.aspx"	"2013"	"2014"	"The provenance of processed foods is a significant quality attribute for many consumers. However, widespread mislabelling or adulteration of high-value foods is known to take place on a global scale and, with regard to Irish farmhouse cheeses, it is believed that the mislabelling of imported foreign cheeses as Irish does happen and may be a growing problem. There is also concern that not all cheeses sold with Irish-sounding brand names originate on the island of Ireland. An analytical effort is therefore warranted to facilitate the development of methods to confirm the ""Irish origin"" claims of such products. This project, which is a collaboration between Teagasc Food Research Centre, Ashtown and the Institute for Global Food Security in Queen’s University Belfast, aims to develop a robust fingerprint model which will characterise Irish-produced farmhouse cheeses using these analytical approaches. The possibility of labelling solutions to augment consumer choice will also be explored. "	"Teagasc Food Research Centre"	""	"Ashtown,Dublin"	""	""	"Downey, Gerard"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Protecting-consumer-choice-ensuring-the-provenanc.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"05-2010A"	"An investigation into the usage of Monosodium Glutamate in the ethnic food catering industry"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/An-investigation-into-the-usage-of-Monosodium-Glut.aspx"	"2010"	"2011"	"Monosodium glutamate (MSG) is a flavour enhancer commonly added to Chinese food, canned vegetables, soups and processed meats. Although it is permitted as a food ingredient in the EU and elsewhere, the use of MSG remains controversial. In the EU, MSG like other permitted food additives, must appear on the label if used as a deliberate ingredient and has been ascribed the E number 621. MSG has been used as a food additive for decades. Anecdotal reports of adverse reactions to MSG have been reported.  Symptoms include headache, flushing, sweating, facial pressure or tightness, numbness, tingling or burning in face, neck and other areas, heart palpitations, chest pain, nausea and weakness. Adverse reactions are simply known as ""MSG symptom complex""; there is no definitive evidence of a causal link between MSG consumption and these symptoms. The consumption of MSG is essentially a consumer choice issue.This survey investigated MSG usage in Chinese, Indian and Thai restaurants and take-away outlets in Cork and Belfast. MSG use varied considerably from one premises to another. The number of premises that used excessive amounts of MSG was very low.  Importantly, the results showed that even where MSG is not used, you can still get free glutamate from other ingredients. MSG-free options always had much lower free glutamate levels indicating that a request for an MSG-free meal can be accommodated. Since free glutamate was detected in all cuisine tested, it is in the interests of the staff to advise their customers that (a) they don’t add MSG to their dishes or, where it is added, this step can be omitted, and (b) their dishes may contain free glutamate from other ingredients."	"Cork Public Analyst Laboratory"	""	""	""	""	"Davison, Fred"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/An-investigation-into-the-usage-of-Monosodium-Glut.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-RESR-03"	"Investigation of the presence of anti-nutritional and toxic compounds in Health Foods"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Investigation-of-the-presence-of-anti-nutritional.aspx"	"2005"	"2007"	"Concerns have been expressed regarding the potential for contamination of health food products by natural toxins, particularly aristolochic acid and blue green algae toxins.  Aristolochic acid has been found in Chinese herbal medicines and is known to be carcinogenic, mutagenic and cytotoxic while blue green algae toxins are known to be hepatoxic. Agencies such as Health Canada and the US Food and Drug Administration have issued notifications regarding their presence and potential toxicity.This project investigated the presence of both aristolochic acid and the two main blue green algae toxins (microcystin and nodularin) in health products sold on the island of Ireland.  State of the art analytical technologies for their detection were developed which were used in an all-island survey of Asian medicines and health products available on the market. This resulted in the identification and subsequent removal from the marketplace of potentially unsafe products."	"Teagasc Food Research Centre"	""	"Dublin"	""	""	"Danaher, Martin"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Investigation-of-the-presence-of-anti-nutritional.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-2009"	"Food security for the food sensitive consumer on the island of Ireland"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Food-security-for-the-food-sensitive-consumer-on-t.aspx"	"2014"	"2015"	"The prevalence of food sensitivity on the island of Ireland could be as high as 40%. The prevalence of food allergy is increasing, especially among children, and there are no clear answers as to why. Therefore, a significant proportion of the population have to follow an avoidance diet on a daily basis. They must deal with the a plethora of labelling options, least of all the vagaries of precautionary labelling, and must rely on the competence of catering staff to ensure their health is protected when dining out.This project will involve an in-depth desk-based study on the food security for the food sensitive consumer on the island of Ireland. The main objective is to capture the key factors determining their food choice when procuring pre-packed food. Who do they trust, what obstacles do they routinely face and what is the impact on their quality of life. In addition to a critical review of scientific and other literature, focus group discussions with food sensitive consumers and an e-survey will be carried out. These methods should enable meaningful conclusions to be drawn and key recommendations made."	"Queen's University Belfast"	""	""	""	""	"Koidis, Tassos"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Food-security-for-the-food-sensitive-consumer-on-t.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"03-2009"	"A survey to ascertain the ability to purchase a gluten-free meal on request in a restaurant setting"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/A-survey-to-ascertain-the-ability-to-purchase-a-gl.aspx"	"2009"	"2009"	"The objective of this research was to:"	"Western Region Public Analyst's Laboratory"	""	"Galway"	""	""	"Mannion, Rory"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/A-survey-to-ascertain-the-ability-to-purchase-a-gl.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"08-2014"	"Exploration of novel technologies to provide rapid and cost-effective methods for counteracting food fraud"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Exploration-of-novel-technologies-to-provide-rapid.aspx"	"2014"	"2016"	"Almost any food commodity can be the subject of food fraud which includes substitution fraud, addition fraud and country of origin fraud, among others. Three different techniques that will detect all of the types of fraud will be investigated and if appropriate will be fully validated. Loop mediated isothermal or ""LAMP"" is a nucleic acid amplification technique with advantages over traditional PCR. It will be used in speciation studies. Benchtop NMR will be used to profile cold-pressed rapeseed oil, a high value artisan product being produced in Ireland and prone to adulteration with cheaper oils. Rapid evaporative ionization mass spectrometry (REIMS) will be used in conjunction with dissection for tissue identification as an approach termed “intelligent knife” (iKnife). This will be applied, for the first time, to differentiate between meat types and fish species, for its ability to detect chemical contamination of meat and also give information about the geographic origin of meat simultaneously.All procedures will be demonstrated to a wide range of industry and governmental stakeholders. Work on a wide range of foods known to be very prone to fraud will be carried out, namely (1) cheese (2) fish (3) red meat (4) rapeseed oil - all very important commodities produced and sold on the island of Ireland. A successful outcome of this research will bring about a paradigm shift in food fraud detection."	"Queen's University Belfast"	""	""	""	""	"Elliott, Chris"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Exploration-of-novel-technologies-to-provide-rapid.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"04-RESR-06"	"Profiling for abuse of anabolic agents in meat production"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Profiling-for-abuse-of-anabolic-agents-in-meat-pro.aspx"	"2005"	"2008"	"The abuse of anabolic steroids in cattle production has been prevalent across Europe since the mid-1980s. These substances are used to increase the muscle mass of the animals and therefore make the carcasses more valuable at slaughter. In recent years, more sophisticated anabolic cocktails comprised of a mixture of potent hormones are being used.  They are particularly difficult to detect because each individual hormone is present at a very low level.  There have been a number of high profile cases of Police Service of Northern Ireland and Garda Siochana seizures of these illegal anabolic hormone cocktails in recent times. This project profiled the abuse of anabolic agents in meat production and described the development of a high throughput and rapid detection method to allow the targeting of cattle treated with anabolic agents."	"Queen's University Belfast"	""	""	""	""	"Elliott, Chris"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Profiling-for-abuse-of-anabolic-agents-in-meat-pro.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"01-RESR-009"	"Development of a screening system capable of detecting a broad range of toxic and illegal drugs in red meat"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Development-of-a-screening-system-capable-of-detec.aspx"	"2001"	"2004"	"Clenbuterol (Angel Dust) has been one of the most widely abused drugs in European farming.  The trouble is that there is a wide array of illegal Clenbuterol-like drugs available to farmers that could be undetectable by current analytical techniques. This is a major cause for concern due to the potential human health effects of Clenbuterol exposure via contaminated meat products. The primary objective of this research was to utilise recent advances in drug residue detection technology to develop a biosensor screening system capable of detecting a wide range of illegal drugs in red meat. The tests developed were used to determine the level of abuse occurring on the island of Ireland. The outcomes of the research were disseminated to all relevant stakeholders with a view to implementing the methodology for the purposes of deterring unscrupulous primary producers from using illegal growth promoters."	"Dublin City University"	""	""	""	""	"O'Kennedy, Richard"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Development-of-a-screening-system-capable-of-detec.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"07-2013"	"Development of a Risk Register for both the Pig and Poultry Meat Sectors on the island of Ireland: Food Hazard Select"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Development-of-a-Risk-Register-for-both-the-Pig-an.aspx"	"2013"	"2015"	"Contamination and adulteration of food products is an ever increasing problem that is reported in the media. Such reports serve to alarm the public and cause a loss of faith in food producers. Many of these incidents are due to the complexity of the food supply chain and often catch companies totally unaware. Work has been pioneered by The Institute of Global Food Security at Queen’s University Belfast in developing a risk management system for the animal feed industry on the island of Ireland. The database outcome from this work is now being implemented by a large number of UK and Irish companies that import feed materials onto the island of Ireland to target their monitoring programme for contaminants.The concept of developing a similar risk register ( Food Hazard Select ) for pig and poultry foods produced on the Island of Ireland is the subject of the current proposal. The pork and poultry industry are major employers on the island of Ireland and export large quantities of products. The quality and safety of these products is of paramount importance and any issues in relation to either parameter can cause massive reputational damage, not only to the company involved but the entire industry. A system will be developed to produce a Risk Register based on analysing data from a wide range of existing sources, some in the public domain and some confidential. The information will be ranked for severity of impact and will be used by the industry to fine tune their testing programmes. Thus the amount of industry testing can be increased while at the same time significantly reducing analytical costs.With regards to the major risks identified the project will set out to identify better means of testing based on recent advances in analytical and bio-analytical sciences. Participating industries will receive a series of recommendations about what methods to make use of, either in their own laboratories, governmental laboratories and of commercial testing facilities."	"Queen's University Belfast"	""	""	""	""	"Elliott, Chris"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Development-of-a-Risk-Register-for-both-the-Pig-an.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"06-2013"	"The impact of climate change on food safety: an island of Ireland perspective"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/The-impact-of-climate-change-on-food-safety-an-is.aspx"	"2013"	"2014"	"Global climate change will inevitably disrupt the world’s food production systems. How, and to what extent, continues to present a challenge for climate prediction scientists, particularly with regard to predicted changes at a local level. The interface of climate change and food security has understandably been the subject of much scrutiny. However, within this definition, the impacts upon food safety have received comparatively little attention.The island of Ireland is a highly developed region, yet its largest industry remains agriculture and therefore the effects of climate change on food production and food safety are of particular economic and public health relevance. safe food commissioned the Institute for Global Food Security at Queen’s University Belfast to undertake a literature based review on the potential impacts of climate change on food safety from an Island of Ireland perspective. The review assessed the potential impacts of climate change on food safety and highlighted those areas of the food chain that are most likely to be impacted. Recommendations to ameliorate those impacts were also suggested.This report represents the most comprehensive assessment yet of the climate-related difficulties we face relating to the production of safe food on the Island of Ireland."	"Queen's University Belfast"	""	""	""	""	"Elliott, Chris"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/The-impact-of-climate-change-on-food-safety-an-is.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"05-2013"	"Nanotechnology in the agri-food industry on the island of Ireland: applications, opportunities and challenges"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Nanotechnology-in-the-agri-food-industry-on-the-is.aspx"	"2013"	"2013"	"The use of nanotechnology in the AgriFood industry has increased in recent years and it is predicted to grow rapidly over the next few years. Its potential for providing safer and more nutritious foods is important; however, there are still many uncertainties about the technology and its applications.This review addressed the risks and opportunities from a range of nanotechnology applications in the AgriFood industry on the island of Ireland. It involved an analysis of the current literature and an interrogation of the current regulatory and industrial knowledge base to identify and rank the likely impacts of nanotechnology on the AgriFood industry as well as the implications for consumer health, choice and confidence. The project also considered possible communications options/strategies which would foment trust and thereby underscore consumer confidence in the technology and the regulatory regime."	"Queen's University Belfast"	""	""	""	""	"Elliott, Chris"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Nanotechnology-in-the-agri-food-industry-on-the-is.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"05-2007"	"Development of a Prototype Assay for Azaspiracid Detection in Shellfish"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Development-of-a-Prototype-Assay-for-Azaspiracid-D.aspx"	"2007"	"2008"	"Azaspiracid is a toxin which has adversely affected the health of consumers who have eaten contaminated shellfish. It has been detected in everal parts of the world and in particular the coast of Western Europe including Ireland and Britain. There had been no means of performing rapid detection for the toxin, either in algal blooms or in shellfish meat. Regulatory laboratories, public health laboratories and the aquaculture industry had all identified a need to monitor for the presence of AZA toxins. The ability to detect the toxin in the early stages of contamination would permit the proactive closure of contaminated beds thereby arresting any risk of exposure and ill-health in consumers.This project built on the analytical skills and stock of azaspiracid toxin that resulted from an earlier project (01-RESR-057). A rapid test based on a biosensor kit was developed which uniquely involved the production of an antibody to the toxin. The kit was able to detect AZA toxins at or below the regulatory limit."	"Queen's University Belfast"	""	""	""	""	"Elliott, Chris"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Development-of-a-Prototype-Assay-for-Azaspiracid-D.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"00-RESR-050"	"Poultry meat: improving food safety by improving chemical residue surveillance"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Poultry-meat-improving-food-safety-by-improving-c.aspx"	"2001"	"2005"	"Poultry are highly susceptible to the parasitic disease coccidiosis and veterinary drugs called coccidiostats are routinely used on a prophylactic basis in intensive poultry production. While they are very effective agents for this purpose, they have no nutritional value and have been shown to be toxic at high doses in laboratory animals. In addition, the toxicological information on these drugs is incomplete. While the likelihood of consumers being exposed to toxic levels is very low, best practice dictates that poultry food products should not contain residues of these drugs. It is therefore important for poultry and egg producers to ensure that this does not happen.This project identified mechanisms by which the primary producer could control the utilisation of medicated feed in their production facilities to ensure that coccidiostat residues would not occur in their product. Specific analytical testing methods for the detection of these drug residues in poultry were developed during this project.The outcomes of this project were evaluated at a later stage (Project Reference: 06-2007). In particular, the evaluation project considered the contribution of the "" Guidelines for poultry producers on prevention of Nicarbazin residues in broilers""  (Leaflet and Poster) to reducing the incidence of broiler liver samples non-compliant for Nicarbazin (> 200 µg/kg) in commercial poultry production on the island of Ireland."	"Queen's University Belfast"	""	""	""	""	"Elliott, Chris"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Poultry-meat-improving-food-safety-by-improving-c.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"Synergy project"	"LC-MS-MS method optimisation for determination of malachite & leuco-malachite green in farmed finfish"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/LC-MS-MS-method-optimisation-for-determination-of.aspx"	"2004"	"2005"	"This project addressed an important gap in food safety assurance in the marine finfish sector by developing and validating an LC–MS–MS method for screening and confirmation of malachite green and leuco–malachite green in farmed fish. These compounds have been widely used as a fungicide and ectoparasiticide in the fish farming industry. Although an illegal substance, there is still evidence of use due to low cost, efficacy and lack of a suitable alternative. Regulatory authorities have highlighted the need for greater capacity to monitor for these compounds, particularly in farmed salmon.The output of this project has contributed to the sustainable development of the €50 million Irish finfish sector and therefore to overall consumer confidence in farmed finfish as well. The new state of the art LC–MS–MS methodology will provide rapid confirmation of positive screening samples and therefore ensure that contaminated seafood product will not reach the market. Additionally it will assist in the efficient follow up investigation and contribute to the elimination of the trade in these illegal compounds."	"Marine Institute"	""	"Galway"	""	""	"McGovern, Peter Heffernan and Evin"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/LC-MS-MS-method-optimisation-for-determination-of.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"Synergy project"	"The quantification of genetically modified (GM) soya and maize in selected foods and authentication of meat in meat products using Real Time PCR techniques: an inter–laboratory collaborative study"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/The-quantification-of-genetically-modified-(GM)-so.aspx"	"2003"	"2004"	"The aim of this inter–laboratory study was to determine the level of GM soya and maize in certain foods sampled across the island of Ireland. It also aimed to determine the extent of substitution or contamination of meat products by inferior meat species in contravention of European food labelling legislation and in the interest of addressing food safety and public health concerns.It was a unique opportunity to establish a fully equipped DNA food testing laboratory capacity and to encourage inter–laboratory cooperation in a rapidly developing analytical area. Food samples were taken from three different sites in the Republic of Ireland and in Northern Ireland, and included soya, maize and meat products."	"Cork Public Analyst's Laboratory"	""	""	""	""	"Davidson, Fred"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/The-quantification-of-genetically-modified-(GM)-so.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"Synergy project"	"The introduction and set-up of the biodetection systems DR-CALUX cell culture assay for the detection of dioxins in food"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/The-introduction-and-set-up-of-the-biodetection-sy.aspx"	"2002"	"2004"	"The DR-CALUX assay uses genetically modified animal cells to detect, specifically and quantitatively, toxicity caused by exposure to dioxin and dioxin-like PCBs in a wide range of matrices, including food.This assay detects dioxins based on their specific biological activity towards genetically modified living cells through light generation from the recombinant cells. The project focussed primarily on method development."	"Galway Public Analyst's Laboratory"	""	"Galway"	""	""	"Canavan, Peadar"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/The-introduction-and-set-up-of-the-biodetection-sy.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"02-PG-027"	"Food and a primary link to human cancer: developing techniques to measure a potent carcinogen present in cooked foods"	"http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Food-and-a-primary-link-to-human-cancer-developin.aspx"	"2002"	"2006"	"One of the research recommendations that emerged from the World Health Organisation (WHO)/Food and Agriculture Organisation (FAO) Acrylamide in Food Network was the need to develop simple low-cost method(s) to be used for routine monitoring. safe food sponsored a research project to design rapid and accurate tests for this carcinogenic compound. Two antibody based tests – ELISA and biosensor immunoassays – were produced and were shown to give rapid, quantitative and reproducible results for large numbers of food samples and across a wide range of food matrices.In addition, these methods were shown to detect adducted acrylamide in human blood samples. Rapid sample preparation permits the analysis of a greater number of samples per day than would be possible with an equivalent LC/MS-MS system. Both ELISA and biosensor immunoassays for the detection of acrylamide in food were the first of their kind."	"Queen's University Belfast"	""	""	""	""	"Elliott, Chris"	"-1"	"-1"	"82"	"It is likely that the Principal Contractor and awardee institution on this project do not exist in investigator data and institution data. Please follow the link http://www.safefood.eu/Professional/Portfolio/3-Chemistry-Toxicology/Food-and-a-primary-link-to-human-cancer-developin.aspx to look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
