project__PROJECT_NUMBER,project__AGENCY_FULL_NAME,agency_index__aid,project__PROJECT_OBJECTIVE,project__PROJECT_TITLE,project__PROJECT_START_DATE,project__PROJECT_END_DATE,investigator_data__name,institution_data__INSTITUTION_NAME,institution_data__INSTITUTION_CITY,states__states_abbrv,institution_data__INSTITUTION_STATE,institution_data__INSTITUTION_COUNTRY,institution_index__inst_id,investigator_index__inv_id
5R01AI096528-02,National Institute of Allergy and Infectious Diseases,22,"Salmonella enterica serotype Typhimurium (S. typhimurium) causes gastroenteritis, a diarrheal illness characterized by acute intestinal inflammation. The pathogen triggers inflammation by using its virulence factors to invade the intestinal epithelium and survive in tissue macrophages. Inflammation is accompanied by changes in the luminal environment, which tip the balance in the competition between S. typhimurium and the resident microbiota in favor of the pathogen. The question of which mechanisms are responsible for these changes in the microbiota composition represents a high-impact topic that will be addressed in this application. Our central hypothesis is that inflammation generates a new respiratory electron acceptor, tetrathionate, which promotes a luminal outgrowth of S. typhimurium by enabling the pathogen to utilize compounds that cannot be further broken down by fermentation in the anaerobic environment of the gut. We will test different aspects of our hypothesis by determining whether removal of sulfide can prevent tetrathionate respiration in the gut (Aim 1), the role of energy taxis during growth in the inflamed gut (Aim 2) and whether S. typhimurium utilizes specific nutrients during inflammation (Aim 3). The proposed research will drive knowledge about gastroenteritis to a higher level by providing critical new insights into molecular mechanisms that control the balance between the pathogen, the host and its microbiota (Aims 2 and 3) and by facilitating the development of new intervention strategies through science (Aim 1). The conceptual advances resulting from the proposed work are thus expected to have a strong and sustained influence on the field.      PUBLIC HEALTH RELEVANCE:    Non-typhoidal Salmonella serotypes are the single most common cause of death from diarrheal disease associated with viruses, parasites or bacteria and the leading cause of food-borne disease outbreaks in the United States, producing between $0.5 billion to $2.3 billion in annual costs for medical care and lost productivity. The most common human clinical isolates are Salmonella enterica serotypes Typhimurium (S. typhimurium) and Enteritidis (S. Enteritidis). Research proposed in this application will support pioneering studies on molecular mechanisms that control the balance between the pathogen, the host and its microbiota. The proposed studies will drive knowledge about Salmonella gastroenteritis to a higher level by providing critical new insights into pathogenesis and by facilitating the development of new intervention strategies through science.",Microbiota Outgrowth By Salmonella,2011,2016,"Baumler, Andreas J",University of California At Davis,Davis,CA,6,1,-1,1419
5P01HD013021-34,National Institute of Child Health and Human Development,23,"Seeinstructions): This project focuses on the role of human milk glycans as pathogen-binding inhibitors that protect against disease caused by two major viral pathogens: the noroviruses (NVs) and the rotaviruses (RVs). In the current grant cycle, we have made significant progress in defining the role of glycans, specifically those identified as histo-blood group antigens (HBGAs), as receptors for NVs. We have described eight receptor binding patterns of NVs according to the ABO, Lewis and secretor types of human HBGAs; the majority of these patterns involve substantial binding to secretor (a1, 2-fucosyl) oligosaccharide or glycoprotein moieties. We have also demonstrated inhibition of major NV strains from binding to their receptors by human milk glycans of secretor mothers (glycans with a1, 2-fucosyloligosaccharide epitopes); these glycans are HBGA analogs, and serve as decoy receptors for various strains of NVs. In this renewal we will test the secretor phenotype as a major biomarker for risk of NV diarrhea in children and the secretor phenotypes of mothers as a biomarker for protection of their breast-fed children against NV disease in our population-based cohorts. We also will examine the variation in risk among secretors with different ABO blood types. Towards development of human milk glycans as potential novel prophylactic or therapeutic agents against NV diarrhea, we will identify and characterize the specific high molecular weight (MW) glycans in human milk that have high affinity/avidity of binding to NVs. For RVs, we will follow the same pathway of investigation as used for NVs: searching for a carbohydrate receptor (fucosyl, sialyl and non-sialyl) for RVs, testing if the carbohydrate epitopes on human milk lactadherin are involved in RV recognition, and examining glycan expression in children and their mothers' milk in associationwith RV infection in children. Finally, we will perform in vitro and pre-clinical studies to design and test synthetic human milk glycan analogs and natural products as potential antivirals against NVs and RVs. RELEVANCE (See instructions): The research proposed in this application is designed to transform our fundamental understanding of human milk glycans and infant glycans in relation to risk of viral causes of diarrhea and to translate our discoveries into new medications, food substances, and diagnostic tools that promote the health and survival of infants and children worldwide.",Viral Gastroenteritis Infection,,,"Jiang, Xi ",Cincinnati Childrens Hosp Med Ctr,Cincinnati,OH,41,1,-1,1509
5R01CA052003-21,National Cancer Institute,99,"Our long-term goal is to prevent liver cancer by eliminating dietary aflatoxin and human exposure to this mycotoxin in food. In past research, we made significant progress towards this long-term goal and accomplished two short-term goals. (1) We identified key components in the genetic switch that activate aflatoxin gene expression and developed a comprehensive model that predicts the detailed mechanisms by which the switch regulates the timing and level of aflatoxin synthesis. (2) We identified several fungal and plant metabolites that block aflatoxin accumulation and gene expression. In the next phase of this research, we will analyze two key components of the switch mechanism in sufficient detail to identify specific steps that are susceptible to control. Using this information, we will continue to identify and test promising natural plant and fungal compounds that block aflatoxin synthesis. This research approach will allow us to confirm or modify key steps in the regulatory model and will fill a critical knowledge gap in our understanding of aflatoxin synthesis specifically and in control of complex gene clusters in general. This approach will also assist efforts to formulate and apply effective strategies to block aflatoxin synthesis on susceptible crops. Based on our model of the genetic switch, we present two central hypotheses: 1) active CRE1bp complexes recruit proteins necessary for initiation of aflatoxin gene expression (AflR and HAT); 2) the timing and level of aflatoxin gene activation is in part controlled by the initiation and spread of histone H4 acetylation in the aflatoxin gene cluster. To address these hypotheses, we propose to accomplish two Specific Aims. 1. Analyze the role of CRE1bp in aflatoxin gene activation. 2. Analyze the role of histone H4 acetylation in aflatoxin gene activation. As part of the proposed work for each specific aim, we will identify new inhibitors of aflatoxin synthesis and determine the specific mechanisms by which these and previously identified inhibitors block aflatoxin synthesis. Our work will allow us to effectively control aflatoxin synthesis on food and feed crops - this outcome will have a large positive impact on human health by providing one practical strategy to reduce liver cancer incidence. PUBLIC HEALTH RELEVANCE:  As part of the proposed work, we will identify new inhibitors of aflatoxin synthesis and determine the specific mechanisms by which these and previously identified inhibitors block aflatoxin synthesis. Our work will allow us to effectively control aflatoxin synthesis on food and feed crops. This outcome will have a large positive impact on human health by providing one practical strategy to reduce liver cancer incidence.",Elimination Of Dietary Aflatoxin To Prevent Liver Cancer,1991,2013,"Linz, John E",Michigan State University,East Lansing,MI,27,1,111,365
5R01GM043577-24,National Institute of General Medical Sciences,93,"This proposal focuses on how spores are formed by Bacillus subtilis. B. subtilis has become a paradigm for the study of spore formation, and of cell differentiation in prokaryotes, because of the ease of its genetic manipulation. All the key regulators of B. subtilis spore formation are also found in other spore forming species including the pathogens B. anthracis, Clostridium tetani, C. perfringens, C. botulinum and C. difficile, the causes of anthrax, tetanus, gas gangrene, botulism and colitis following antibiotic therapy, respectively. The highly resistant spores are critical to the survival of theses species in nature. Conclusions from a study of B. subtilis will have general validity for these species. Spore formation involves a characteristic division into two different cell types, the mother cell and the prespore. The prespore is engulfed by the mother cell and develops into the mature spore. Spore formation requires the action of four RNA polymerase factors, ?F and then ?G in the prespore and ?E and then ?K in the mother cell. It presents a fundamental problem of developmental biology: how is gene expression coordinated with morphological change? The proposal addresses this problem. When the ?F-directed signal from the prespore to activate ?E in the mother cell is delayed, a novel developmental path is taken, in which two spores are formed within one mother cell. This behavior opens up the proposed study of how chromosome replication and growth are controlled during sporulation. It facilitates a study of how genetically identical organisms in the same population can follow different developmental paths. Translocation of the chromosome into the prespore follows activation of ?F. It is proposed to study how completion of translocation leads to engulfment of the prespore by the mother cell and activation of ?G in the engulfed prespore. PUBLIC HEALTH RELEVANCE: This proposal focuses on the fundamental problem of how gene expression is coordinated with morphological changes during formation of spores by Bacillus subtilis. All the key sporulation regulatory genes are also found in related pathogens, including B. anthracis, Clostridium tetani, C. perfringens, C. botulinum and C. difficile. Emphasis is placed on how altering the timing of signaling can change the developmental path taken.",Gene Expression During Sporulation,1986,2014,"Piggot, Patrick J.",Temple Univ of The Commonwealth,Philadelphia,PA,45,1,-1,-1
5R01AI089441-03,National Institute of Allergy and Infectious Diseases,22,"New therapeutics are needed for infections caused by Cryptosporidium parvum and Toxoplasma gondii. Calcium dependent protein kinase 1 (CDPK1) of T. gondii is thought to be critical for the invasion process of T. gondii and thus is a drug target for toxoplasmosis. By inference, the homologous CDPK of C. parvum is likely to be critical for infection by cryptosporidium. We have solved the crystal structures of TgCDPK1 and CpCDPK1 and have shown the active sites are susceptible to bumped kinase inhibitors (BKI) that do not inhibit mammalian kinases. This differential sensitivity is due to the absence of a bulky gatekeeper side chain in the ATP binding site of both TgCDPK1 and CpCDPK1 that is present in mammalian protein kinases. Thus, these BKI offer tremendous selectivity for inhibition of TgCDPK1 & CpCDPK1 vs. human kinases. Furthermore, BKI compounds have shown minimal toxicity in mice when administered in the course of other work. Our preliminary results show that multiple BKI compounds based on a known scaffold can inhibit TgCDPK1 & CpCDPK1 and also inhibit T. gondii and C. parvum cell invasion at low-mid nanomolar concentrations. Expression of a mutant TgCDPK1 with a Met gatekeeper in T. gondii cells leads to resistance to the BKI effect, demonstrating the BKI inhibits cell entry via CDPK1. We will develop compounds that are orally bioavailable, sufficiently potent, lack toxicity, and cure animal models of T. gondii and/or C. parvum. By the end of this project we expect to identify and characterize 2 to 4 leads for evaluation as potential drugs for cryptosporidiosis and toxoplasmosis. This project will initiate development of new drugs to treat diseases caused by two parasitic protozoa, Cryptosporidium and Toxoplasma that are commonly transmitted by consumption of impure food or water. We have identified a class of chemical compounds that specifically inhibit a particular protein used by these parasites to invade human cells. We will design and characterize compounds of this class that are nontoxic to humans but effective in treating infection.      Relevance: This project will initiate development of new drugs to treat diseases caused by two parasitic protozoa, Cryptosporidium and Toxoplasma, that are commonly transmitted by consumption of impure food or water. We have identified a class of chemical compounds that specifically inhibit a particular protein used by these parasites to invade human cells. We will design and characterize compounds of this class that are nontoxic to humans but effective in treating infection.",Calcium Dependent Protein Kinase 1 As A Drug Target For T. Gondii And C. Parvum,2010,2015,"Merritt, Ethan Aparsons, Marilyn Van Voorhis, Wesley C ",University of Washington,Seattle,WA,56,1,224,-1
5R01AI089441-03,National Institute of Allergy and Infectious Diseases,22,"New therapeutics are needed for infections caused by Cryptosporidium parvum and Toxoplasma gondii. Calcium dependent protein kinase 1 (CDPK1) of T. gondii is thought to be critical for the invasion process of T. gondii and thus is a drug target for toxoplasmosis. By inference, the homologous CDPK of C. parvum is likely to be critical for infection by cryptosporidium. We have solved the crystal structures of TgCDPK1 and CpCDPK1 and have shown the active sites are susceptible to bumped kinase inhibitors (BKI) that do not inhibit mammalian kinases. This differential sensitivity is due to the absence of a bulky gatekeeper side chain in the ATP binding site of both TgCDPK1 and CpCDPK1 that is present in mammalian protein kinases. Thus, these BKI offer tremendous selectivity for inhibition of TgCDPK1 & CpCDPK1 vs. human kinases. Furthermore, BKI compounds have shown minimal toxicity in mice when administered in the course of other work. Our preliminary results show that multiple BKI compounds based on a known scaffold can inhibit TgCDPK1 & CpCDPK1 and also inhibit T. gondii and C. parvum cell invasion at low-mid nanomolar concentrations. Expression of a mutant TgCDPK1 with a Met gatekeeper in T. gondii cells leads to resistance to the BKI effect, demonstrating the BKI inhibits cell entry via CDPK1. We will develop compounds that are orally bioavailable, sufficiently potent, lack toxicity, and cure animal models of T. gondii and/or C. parvum. By the end of this project we expect to identify and characterize 2 to 4 leads for evaluation as potential drugs for cryptosporidiosis and toxoplasmosis. This project will initiate development of new drugs to treat diseases caused by two parasitic protozoa, Cryptosporidium and Toxoplasma that are commonly transmitted by consumption of impure food or water. We have identified a class of chemical compounds that specifically inhibit a particular protein used by these parasites to invade human cells. We will design and characterize compounds of this class that are nontoxic to humans but effective in treating infection.      Relevance: This project will initiate development of new drugs to treat diseases caused by two parasitic protozoa, Cryptosporidium and Toxoplasma, that are commonly transmitted by consumption of impure food or water. We have identified a class of chemical compounds that specifically inhibit a particular protein used by these parasites to invade human cells. We will design and characterize compounds of this class that are nontoxic to humans but effective in treating infection.",Calcium Dependent Protein Kinase 1 As A Drug Target For T. Gondii And C. Parvum,2010,2015,"White, Arthur Clinto",University of Washington,Seattle,WA,56,1,224,-1
5R01AI083359-04,National Institute of Allergy and Infectious Diseases,22,"The type III secretion system of Gram-negative bacterial pathogens creates one of the most direct interfaces between pathogens and their hosts. These 'needle-like' molecular machines inject bacterial effector proteins directly into host cells for the purpose of destroying an innate immune response and facilitating bacterial replication, dissemination, and disease progression. Effector proteins are unique virulence factors in that they often capture or mimic the properties of host signal transduction molecules. One such target is the evolutionarily conserved Ras-superfamily of GTPases. The present study focuses on a recently identified bacterial type III effector family. The related type III effectors SifA, IpgB, and Map are required for Salmonella, Shigella, and enterohaemorrhagic E. coli pathogenesis, respectively, through their common ability to activate Rho-family GTPase signaling cascades. The studies described here seek to elucidate the host signaling mechanisms of this large bacterial virulence factor family by examining 1) the enzymatic activation of Rho GTPases, 2) type III effector recognition of GTPases at the molecular level, and 3) the effects of effector protein localization within the host cell. By revealing mechanistic details of type III effector family members, these studies will provide new insights into the pathogenic mechanisms o several infectious agents and into the biology of their human host. PUBLIC HEALTH RELEVANCE: Human Rho-family GTPases are major targets of bacterial toxins and effector proteins. Pathogens hijack this critical signaling pathway to facilitate bacterial replication, dissemination, and disease progression. This proposal examines the ability of a large family of bacterial type III effector proteins to hijack human Rho GTPases. A deeper understanding of the enzymatic and biochemical interface between these bacterial effectors and human GTPases will lead to a more complete knowledge of numerous pathogenic mechanisms and may reveal new aspects of signal transduction in the human host cell.",Type III Effector Regulation Of Host GTPase Signaling,2009,2014,"Alto, Neal Mathew",Ut Southwestern Medical Center,Dallas,TX,51,1,-1,3934
5U19AI090882-03,National Institute of Allergy and Infectious Diseases,22,"Non-typhoidal Salmonella enterica subspecies I, serovar typhimurium is a growing and evolving threat, both in Sub-Saharan Africa, where it is now a leading cause of invasive, bacteremic infections, and also in the United States, where it has been responsible for numerous food-related outbreaks, where it has expanded its contamination profile historically into poultry, and recently has apparently been able to colonize (or at least survive robustly) on peanuts and tomatoes. In both cases, it appears likely that selection pressures are driving evolution of S. typhimurium to acquire and/or lose biological capabilities to take advantage of new routes of transmission. Less is known about what elements in the genome of S. typhimurium have been altered to enable these adaptations, or what impact that may have on the human immune response. We will use high-throughput in-vitro phenotyping to characterize strains causing diarrheal vs. non-diarrheal disease from Sub-Saharan Africa. To better understand the genetic traits behind adaptation in S. typhimurium we will use next-generation whole genome to fully characterize all allelic differences in core genome elements, and to inventory missing genes, and define the presence of novel genes in many strains from NTS in Africa, and from varying foodborne sources in the USA. Correlated genetic elements will be functionally verified by allelic replacement and in some cases demonstrated by animal model virulence tests. For functionally verified genetic markers, simplified assays will be developed (PCR, Allele-specific PCR or locus-specific DNA sequencing), which can then be implemented in the field to assess their prevalence and clinical significance.",Genotypic Correlates Of Pathogen Diversitiy Of NTS In Africa And North America,,,"Miller, Samuel I.",University of Washington,Seattle,WA,56,1,224,1549
5R01CA039416-27,National Cancer Institute,99,"Cancer prevention involving reduction or elimination of human exposure to environmental carcinogens may not always be possible. Inhibition of the development of cancer by the administration of anticarcinogenic agents may offer practical alternatives for reducing human cancer burden. However, the successful utilization of chemopreventive interventions will require solid mechanistic understanding of the action(s) of these agents. We have identified the Keap1-Nrf2-ARE signaling pathway as a target for chemoprevention. The Nrf2 transcription factor regulates an integrated cell survival response that can be triggered by multiple classes of cancer chemopreventive agents (e.g., dithiolethiones, isothiocyanates, triterpenoids). In this project, we will use both pharmacologic and genetic approaches to further probe the molecular mechanisms of action of these chemopreventive agents, assess their efficacy in animal models with close relevance to human carcinogenesis and use these interventions to validate intermediate biomarkers. With a continuing focus on the roles of infection with hepatitis B virus and co-exposure to the fungal toxin aflatoxin on human risk for hepatocellular carcinoma, we will purse three aims. First, we will utilize advanced methods of isotope-dilution mass spectrometry for the quantitation of aflatoxin biomarkers in liver, blood, urine and feces in order to develop for the first time a comprehensive mass balance for the fate of the ultimate carcinogen, exo-aflatoxin-epoxide, in rats. The predictive value of these biomarkers for individual risk of liver cancer will be assessed. Biomarkers will be quantified longitudinally during a bioassay for protection against hepatocarcinogenesis by the exceptionally potent triterpenoid activator of Nrf2 signaling, CDDO-Im. We will also evaluate the predictive value of monitoring DNA circulating in plasma for mutations in target oncogenes using quantitative short oligonucleotide mass spectrometry. In the second aim, we will evaluate the similarities and distinctions of chemical class, species and genetic activation of Keap1-Nrf2 signaling by comparing the gene expression patterns in rat and mouse liver following treatment with lead compounds of 3 different chemical classes of Nrf2 activators at doses equi-effective for inhibition of aflatoxin-induced preneoplastic lesions and by comparing the gene expression patterns in liver of mice in which either Nrf2 or its repressor Keap1 have been genetically disrupted. The impact of these genetic and pharmacologic interventions on aflatoxin disposition will be determined using the mass spectrometry-based analysis of its biomarkers. Third, we will capitalize on our novel observation that Nrf2 signaling influences tissue regeneration and repair by examining the post initiation effects of triterpenoids during aflatoxin-induced hepatocarcinogenesis in the rat and in a murine model recapitulating major human risk factors for HCC, namely, aflatoxin exposure and infection with HBV. Collectively, these studies will further the goal of effectively using activators of Nrf2 signaling as protective agents in human populations exposed to environmental toxicants.      PUBLIC HEALTH RELEVANCE: Cancer prevention involving reduction or elimination of human exposure to environmental carcinogens may not always be possible. The overriding goal of our work remains to provide the mechanistic framework to facilitate the efficient translation of the most effective of the small molecule activators of Nrf2 signaling into use as protective agents in human populations exposed to environmental toxicants such as aflatoxins. To facilitate this goal we need better understanding of the molecular mechanisms of action of our chemopreventive agents, further validation of intermediate biomarkers, and assessment of efficacy in animal models with close relevance to human carcinogenesis.",Molecular Mechanisms Of Chemoprevention:  NRF2 Signaling,1985,2014,"Kensler, Thomas W",University of Pittsburgh At Pittsburgh,Pittsburgh,PA,45,1,-1,1648
5R01AI055743-11,National Institute of Allergy and Infectious Diseases,22,"The adaptive immune response to mucosal pathogens is still poorly understood, limiting the development of new vaccines for important human pathogens such as the category B bioterrorism agent Salmonella. We propose to use newly developed reagents to examine the priming of Salmonella-specific CD4 T cells in the intestinal mucosa and systemic tissues, explore the mechanism of effector cytokine production in the infected liver, and examine the effect of bacteria on the survival of Salmonella- specific T cells in vivo. The specific aims of this proposal are: Aim 1. Test the hypothesis that bacterial antigen expression shapes the Salmonella-specific CD4 repertoire at mucosal and systemic sites. Aim 2. Test the hypothesis that innate activation of Salmonella-specific CD4 T cells amplifies effector cytokine production in infected tissues. Aim 3. Test the hypothesis that live Salmonella can inhibit survival of activated CD4 T cells via SPI2 effector proteins. Our preliminary data demonstrate that we have identified several new targets of Salmonella-specific CD4 T cells and can develop novel MHC class-II tetramer reagents to track the mucosal and systemic Salmonella-specific T cell response in vivo. Our data also demonstrate that previously activated CD4 T cells can be activated by innate stimuli without TCR ligation. Lastly our preliminary data indicate that live bacteria inhibit the survival of Salmonella-specific T cells in vivo. Our three specific aims will use cutting-edge technology, most of which has been developed by our laboratory during the previous funding cycle, to examine the priming, effector function and survival, of Salmonella-specific CD4 T cells throughout the course of Salmonella infection. PUBLIC HEALTH RELEVANCE: Typhoid is a potentially fatal disease caused by oral Salmonella infection and recognized as a potential bioterrorist threat in the US. This proposal will examine the protective CD4 T cell response to this organism using a mouse model of Salmonella infection and newly developed immunological tools to detect mucosal and systemic responses. This proposal will therefore increase our understanding of how these protective CD4 T cells are activated and function in the face of mucosal bacterial infection.",CD4 T Cell Responses To Salmonella,2003,2014,"Mcsorley, Stephen J",University of California At Davis,Davis,CA,6,1,-1,5679
5U54AI057156-09,National Institute of Allergy and Infectious Diseases,22,"Cryptosporidiosis is an intestinal parasitic infection that is emerging as a common cause of diarrhea  worldwide. The potential for use of Cryptosporidium in bioterrorism is illustrated by the 1993 epidemic that  occurred when the Milwaukee water supply became contaminated with the organism and over 400,000  people became ill with diarrhea within a period of a few weeks. Associated with that outbreak were large  numbers of hospitalizations and deaths. Based on this potential to cause large-scale epidemics,  Cryptosporidium has been classified as a Class B agent for biodefense. According to the World Health  Organization, diarrheal diseases are the second most common cause of morbidity and mortality worldwide  among children in developing countries and also an important cause of morbidity and mortality in adults,  Parasites are more common agents of persistent and chronic diarrhea, which are increasingly recognized as  major causes of chronic morbidity. Among the parasites Cryptosporidium, Giardia intestinalis, and  Entamoeba histolytica are the most commonly associated with diarrhea. All of these organisms can present  with a similar clinical picture, typically with watery diarrhea, yet they differ in terms of optimal diagnostic  methods and, more importantly, treatment. The long-range goal for the project is to develop a simple,  inexpensive test that can detect all the major diarrhea-causing protozoan parasites that can be performed at  the point-of-care, even in developing countries. The specific aims of this project are: Specific aim 1: To  optimize an inexpensive, sensitive and specific diagnostic test that can be used for point-of-care  diagnosis of Cryptosporidiosis. Specific aim 2: To develop detection methods for Giardia, E.  histolytica, Cyc/ospora, and /sospora. Specific aim 3: To assess the sensitivity and specificity of  these assays using stools samples obtained in prospective studies of diarrheal disease. To  accomplish these goals, we have assembled an interdisciplinary team with proven expertise in point-of-care  detection of infectious disease. Dr White's laboratory at UTMB brings expertise in intestinal parasites, clinical  infectious diseases and parasite molecular biology and has ongoing collaborations with field studies of  diarrheal disease. Dr. Richards-Kortum's Laboratory, at the Department of Bioengineering at Rice University,  has focused on applying microfabrication and nanotechnologies to global health problems and has  experience in both micro-optical sensors and the use of targeted nanoparticles for molecular diagnostics.  The long-range goal for the project will be to incorporate similar techniques to develop a simple, inexpensive  test that can detect all the major diarrhea-causing protozoan parasites that can be performed at the point-ofcare,  even in developing countries.",Point-Of- Care Diagnostics Test For Intestinal Protozoa,2012,2014,"White, Arthur Clinton",University of Texas Medical Br Galveston,Galveston,TX,51,1,-1,-1
7R01AI087830-04,National Institute of Allergy and Infectious Diseases,22,"Typhoid fever is a persistent infection caused by host adapted Salmonella species. Paradoxically, allowing pathogen persistence may also be beneficial for the host when immune-mediated damage outweigh the immediate risk posed by the infection. Our long-term goals are to identify the immune cells and signals activated during Salmonella infection that controls this balance between immune activation required for pathogen eradication with the associated risk of immune-mediated host injury, and immune suppression at the expense of pathogen persistence. The mouse model of S. typhimurium infection reproduces important features of persistent infection characteristic of human typhoid. Together with the abundance of immunological tools and reagents available only in mice, infection in this species is currently the best-available model for identifying the molecular and cellular signals that control this delicate immunological balance. Using this model, our preliminary studies indicate regulatory T cells (Tregs) that comprise a distinct lineage of CD4+ T cells characterized by Foxp3-expression play critical roles in dictating the balance between immune activation and bacterial persistence. Early after infection, Foxp3+Treg-ablation accelerates the kinetics of bacterial eradication, while augmenting Foxp3+Tregs causes reciprocal increases in pathogen burden. Therefore the overall goals of this application are to define the relative importance and identify the suppressive mechanism utilized by Tregs throughout persistent Salmonella infection. Aim 1 will expand on our preliminary findings that demonstrate drastic changes in Treg suppressive potency for cells isolated at early (day 5) and late (day 37) time points, by defining a comprehensive kinetic analysis for changes in Treg suppressive potency during persistent infection. Our specific goals are to identify when Treg suppressive potency peaks, nadirs, and returns to baseline levels, and the absolute magnitude for these changes. These results will establish the frame-work for complementary experiments that verify the importance of Tregs at these critical time points by quantifying the relative impacts of Treg-ablation. Using recently developed techniques for reconstituting Treg- ablated mice with donor Tregs from mice with targeted defects in defined Treg-associated molecules, Aim 2 will further explore the mechanistic basis for these changes in Treg suppression potency. These include experiments that will identify and dissociate the specific Treg-associated molecules that control host defense from those required for sustaining peripheral immune tolerance, and define Salmonella ligands and the corresponding pattern recognition receptors that dictate these changes in Treg suppression potency through cell-intrinsic stimulation. Together these experiments that utilize cutting edge immunological tools will not only fill important gaps in our current knowledge on the importance and the mechanism whereby Foxp3+Tregs control host defense during Salmonella infection, but also establish important paradigms for how Tregs may regulate immunity during other persistent infections.      PUBLIC HEALTH RELEVANCE: The pathogenesis of persistent infection is controlled by the balance between opposing immune activation and suppression signals. Using Salmonella infection in mice as a model of human typhoid, this application seeks to define the importance of regulatory T cells, and identify the molecular basis whereby these cells control this delicate immunological balance during persistent bacterial infection.",Regulatory T Cells Dictate Immunity During Persistent Salmonella Infection,2010,2015,"Way, Sing Sing ",Cincinnati Childrens Hosp Med Ctr,Cincinnati,OH,41,1,-1,4871
5U54AI057160-09,National Institute of Allergy and Infectious Diseases,22,"The overall goals of this project are to identify novel pathogens responsible for human disease and to create  a flexible and highly effective system for the rapid identification and analysis of emerging or engineered  agents. This will serve four purposes: (i) improve preparedness for outbreaks, (ii) characterize new viruses  that we have already discovered in specimens from acutely ill patients (7 novel viruses identified to date), (iii)  identify additional new pathogenic viruses, and (iv) provide new understanding of the human virome. To  these ends, we have assembled an international collaborative team to systematically address the etiologies  of a number of acute human illnesses using cutting edge molecular genomic approaches combined with  classical immunological, virologic and epidemiologic methods. In this project, we will focus primarily on three  diseases, encephalitis, respiratory tract infection, and gastroenteritis, which are collectively responsible for  approximately 6,000,000 deaths annually. The most comprehensive analyses fail to identify and etiologic  agent in 70% of encephalitis, -30% of respiratory tract infection and -40% of gastroenteritis. In addition, the  emergence of new infectious agents, many of which manifest the clinical symptoms characteristic of these  diseases, accentuates the critical need to define the complete spectrum of viruses capable of causing these  diseases. In this proposal we present an integrated pipeline for identification of novel viruses,  characterization of these viruses, and definition of their biological relevance. To identify novel viruses, two  complementary genomic methodologies, pan-viral DNA microarrays and mass sequencing, will be applied to  analyze clinical specimens in a highly comprehensive and minimally biased fashion. These methods have  been previously used to identify SARS as a novel coronavirus during the 2003 outbreak, the novel WU  polyomavirus and multiple novel viruses in stool from diarrhea patients. We will determine the genomic  structure and biological relevance of novel viruses using molecular, epidemiological, and  seroepidemiological criteria. Viruses that appear to be relevant will then be prioritized for future studies  aimed at elucidating both the basic biology of the viruses as well as their potential pathogenicity.","Discovery And Characterization Of Emerging, Engineered And Unrecognized Pathogens",,,"Wang, David ",Washington University,Saint Louis,MO,30,1,2,3549
5R01GM042680-21,National Institute of General Medical Sciences,93,"Manganese redox chemistry is fundamental to biological processes at molecular, cellular and environmental scales, from antioxidant defense to oxygenic photosynthesis. Biomedically important enzymes including Mn superoxide dismutase (MnSOD), Mn catalase (MnC), and oxalate oxidase (OXO) require a catalytic manganese cofactor for their biological function, yet the molecular mechanisms involved in delivering the essential metal ion are just beginning to be studied in detail. The goal of this proposal is to advance our understanding of the biochemical mechanisms responsible for the metal-binding maturation of Mn metalloenzymes, including MnSOD. In vitro methods (including fluorescence monitored metal uptake kinetics) will be complemented by an analysis of processes and proteins required for metal binding by manganese metalloenzymes in vivo. This work is fundamental to understanding the role of manganese trafficking in human health and disease. Further, understanding the metal binding mechanism of the ubiquitous antioxidant metalloenzyme MnSOD may contribute new insight into biological defenses against oxidative stress, a key factor in aging and neurodegenerative disorders. This work may also shed light on diseases of metal homeostasis in which metal misincorporation occurs. Roles of manganese in pathogenesis will be explored through the expression and molecular characterization of manganese catalase homologs mined from the genome of a medically important microbial pathogen, the enterohaemorraghic E. coli O157:H7. Further, the role of high-valent manganese complexes in enzyme catalysis will be investigated by applying a combination of advanced spectroscopic methods and rapid kinetics to probe the active site chemistry of oxalate oxidase. PUBLIC HEALTH RELEVANCE: Manganese is an element that plays many essential roles in health and disease. One of the important aims of this proposal is to investigate how living cells specifically deliver manganese to manganese-dependent enzymes so that they can perform their biological functions, providing important new insight into processes underlying aging and neurodegenerative disorders. The role of manganese in the virulence of the foodborne pathogen, E. coli O157:H7, will also be explored, and the mechanisms of manganese catalysis will be investigated in oxalate oxidase, an enzyme that is important in clinical bioanalytical chemistry.",Manganese Redox Biochemistry,1989,2014,"Whittaker, James W",Oregon Health & Science University,Portland,OR,43,1,132,-1
