"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_MORE_INFO"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"institution_index__inst_id"	"agency_index__aid"	"comment"
"FS231042 (B15027/28)"	"Molecular Mechanisms underlying the interaction of Salmonella Enteritidis.."	"http://www.food.gov.uk/science/research/foodborneillness/b15programme/b15projects/b1502728"	"2008"	"2011"	"The work identified the molecular bases for the tropism of Salmonella Enteritidis (SE) for hen reproductive tissues; determined the molecular bases underlying the survival of SE in avian macrophages; determined which components of Lipopolysaccharide (LPS) regulate SE persistence in reproductive tissue and survival in forming eggs in vivo and identified the genetic determinants that permit certain SE isolates. The study explored the hypothesis that SE has cell surface determinants, unique amongst non-host-adapted salmonella that ideally suit it to contaminate eggs in vivo ."	"This project was part funded by the FSA through the BBSRC Government Partnership Award (GPA) Scheme. Salmonella Enteritidis (SE) is the most important human pathogen among all other types of Salmonella and many people have become ill from consuming SE infected eggs. Little is known about the behaviour of SE in the hen and why it is apparently so adaptive at infecting eggs in vivo . This study aimed to identify the characteristics that allow SE to infect and persist in hen reproductive tissues. The work also explored the hypotheses that SE surface structure different from those in other salmonellae which allow the pathogen to persist in tissue and infect eggs. A better understanding of the interaction between SE and the hen could eventually enhance animal welfare and improve food safety by allowing development of improved vaccines."	"University of Bristol and University of Cambridge"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS241051A"	"Monitoring of campylobacters in UK poultry carcasses.."	"http://www.food.gov.uk/science/research/foodborneillness/b15programme/b15projects/fs241051A"	"2011"	"2013"	"This study aims to collect UK poultry processing industry campylobacter test results data and investigate how to utilise these data to monitor progress against the voluntary target agreed with industry including assessing any implications for using three pooled neck skins from three birds as the test matrix for campylobacter as compared with neck skins and breast skin from a single bird. The quality of the test data using applied statistical methodologies will also be assessed and support will be provided, where required, for laboratories to improve performance. At least four sets of quality assurance determinations using standardised test samples of increasing complexity will be undertaken. Previous Agency-funded work using campylobacters on neck skins indicate that pipetting and stomaching are two aspects of testing that contribute disproportionately towards larger measurement errors. Selecting samples that require increasing amounts of processing (e.g. more pipetting, vortexing or stomaching) can provide clues that point to any disproportionately large sources of uncertainty when compared with previous measurements. Information will also be gathered that describes processing and other practices (e.g. overnight cleaning regimes) in chicken broiler slaughterhouses. Using multivariate analysis, this information will be used to identify those processing practices, if any, that have an influence on campylobacter numbers on post-chill broiler carcasses in UK plants. This will be achieved by developing a system based on the chicken broiler slaughterhouse assessment tool questions available from the Agency’s slaughterhouse hygiene tool (project FS241018)."	"The FSA in collaboration with the Department for Environment, Food and Rural Affairs, the British Poultry Council, the National Farmers Union and the British Retail Consortium, has agreed a voluntary target for the reduction in the levels of campylobacter in UK produced raw chicken to be achieved in a phased approach by April 2015. This target will be measured as a reduction from a baseline level of 27% of highly contaminated batches in 2008 to 19% by 2013 and to 10% by 2015. The Agency and industry will need to assess progress towards the target. Industry has put in place an on-going voluntary monitoring programme that could be utilised for this purpose."	"Hutchison Scientific"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS241051B"	"Monitoring programme for campylobacter in broiler flocks and broiler carcasses in the UK"	"http://www.food.gov.uk/science/research/foodborneillness/b15programme/b15projects/fs241051B"	"2011"	"2015"	"This campylobacter monitoring programme aims to measure the level of campylobacter contamination in broiler chickens so that any significant change in campylobacter load over time can be detected in response to the implementation of specific intervention practices at different points along the production chain. The availability of a validated rapid speciation test for monitoring purposes would make future campylobacter testing work more cost-effective while maintaining or increasing the quality of the test result. Therefore, in the first part of the monitoring programme this study will undertake both biochemical and polymerase chain reaction (PCR) tests in parallel for campylobacter speciation This will contribute to the standardisation, optimisation and validation of these techniques, allowing a significant reduction in cost of the tests for monitoring purposes if any of these tests are adopted in future. An industry voluntary monitoring programme currently uses samples that are taken for salmonella testing, comprising three neck skin samples per slaughter batch, five batches on one day with a frequency of once a week or less. It is not known how this sampling strategy compares with the sampling methodology used in the EU survey conducted in 2008, where sampling and testing of one neck and attached breast skin sample per slaughter batch was required. The project will also assess the performance of these two sampling strategies and determine how they compare for the enumeration of campylobacter in broiler batches. To improve the understanding of management practices within the UK broiler industry and to gain a better knowledge of their impact on the epidemiology of campylobacter in broiler flocks, data on production practices will be collected. Information on thinning and depopulation practices, flock size, general bio-security and other management practices will be collected using a questionnaire aimed at agriculture and farm managers of the participating companies. These data will be combined with the microbiological data generated by the monitoring programme and will be analysed independently. This monitoring programme, alongside the industry voluntary programme, will provide baseline data to feed into risk assessment models and will be used to measure on-going progress on the effectiveness of the FSA risk management programme towards achieving the reduction target."	"The FSA, in collaboration with the Department for Environment, Food and Rural Affairs, the British Poultry Council, the National Farmers Union and the British Retail Consortium, has agreed a voluntary target for the reduction in the levels of campylobacter in UK produced raw chicken to be achieved in a phased approach by April 2015. This target will be measured as a reduction from a baseline level of 27% of highly contaminated batches in 2008 to 19% by 2013 and to 10% by 2015. Industry has put in place an on-going voluntary monitoring programme and this project will undertake an independent monitoring programme that will be used by the FSA to assess on-going progress towards achievement of the target."	"AHVLA"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"B15005"	"Sampling regimes and microbiological methods for detecting thermophilic Campylobacter spp.."	"http://www.food.gov.uk/science/research/foodborneillness/b15programme/b15projects/b15005"	"2004"	"2005"	"A survey of methods used in the UK and overseas will inform the writing of draft sampling and testing plans for practical evaluation. As part of the evaluation the best enrichment medium for a given sample type will be identified, e.g. samples to be tested will include boot swabs, single faecal droppings and caecal contents. Enrichment media to be included are Bolton, Preston, Exeter and mCCDA. The effect of pooling samples on the isolation rate will be examined. Pooling would significantly reduce the cost of testing a large number of samples. This is a particular problem when the flock prevalence is low, e.g. a 5% infection rate would require 59 samples to detect infection. The transportation of samples can have a significant effect on detection rates so factors such as time in transit, temperature and sample medium will investigated. At least four rapid detection methods will be compared initially using spiked samples. The most promising rapid methods will be subject to more detailed study using real samples."	"The UK poultry industry requires properly validated, robust, simple and cheap sampling and testing regimes to identify campylobacter positive broiler flocks. Regular testing will enable poultry companies to monitor flocks and evaluate the effectiveness of biosecurity measures. Rapid detection methods will allow flocks to be tested just prior to slaughter and allow positive flocks to be scheduled for slaughter, e.g. processed at the end of the day or at a different processing plant. The project will identify optimal sampling and testing regimes and determine if rapid methods are suitable for this application."	"University of Bristol"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"B15003"	"To make recommendations on the best practical procedures to sample and test poultry flocks for salmonella"	"http://www.food.gov.uk/science/research/foodborneillness/b15programme/b15projects/b15003"	"2003"	"2004"	"1. Collate and update all information on sampling and testing practices from previous studies, industry, the literature and overseas. 2. Critically evaluate sampling and testing practices to determine the best procedures taking account of practicalities. The most promising sampling and testing procedures will be further evaluated using practical, laboratory-based studies to determine sensitivity and detection thresholds. A definitive sampling and testing plan will be validated in a number of broiler flocks by comparison with standard company monitoring and intensive sampling. On completion of technical evaluations a full cost/benefit analysis will be undertaken. This will take account of both the full costs of procedures and their technical merit. 3. Produce final recommendations in a format suitable for the production of guidance material for industry. A final report will be produced which will give economically viable recommended procedures to cover all stages of sampling and testing. The recommendations will include: a sample plan that will detect the maximum number of salmonella positive flocks; at what stage(s) of production should testing take place (i.e. age of the birds); the optimum method of sampling to assess flock status; how best to package and transport the samples to the laboratory; the laboratory test procedures(s) that will optimise detection of salmonellas of most concern to public health (particularly typhimurium and enteritidis); suitable rapid methods; alternatives to serotyping if available."	"A recent review (FSA project ZB00023) of the current testing and scheduling practices used by the poultry industry revealed that over 95% of flocks were tested for salmonella but there were wide variations at all stages of the testing procedures. The authors concluded that because of the inadequacy of many industry practices it was certain that a significant number of salmonella positive flocks were not being detected, resulting in cross-contamination during slaughter. Testing and scheduling is an important salmonella control measure for poultry meat and there is an urgent need for clear and practical guidance on sampling and testing. Such guidance needs to clearly explain the best practical and economic procedures that industry should adopt to ensure the maximum number of salmonella positive flocks are detected. The project will critically examine current industry practices to identify a definitive sampling and testing plan, which will be validated in a number of broiler flocks."	"Direct Laboratories"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS241045"	"A comprehensive review of current practices in the management of L. monocytogenes during the production of cooked, sliced meat"	"http://www.food.gov.uk/science/research/foodborneillness/b14programme/b14projlist/fs241045"	"2013"	"2014"	"The research project reviewed current practices used in the management of Listeria monocytogenes during the production and retailing of cooked sliced meat in the UK. The project identified key risk areas and some potential gaps in their management. The project covered companies that slice pre-cooked meats (eg deli counters), as well as those manufacturing pre-packed cooked sliced meats. This was done with a view to develop information for food business operators (in particular SMEs) and local food authorities on the key risk areas for L. monocytogenes contamination and the monitoring and management of these. In particular, it is envisaged that the outputs of this project will be used to underpin the development of a decision support tool that will be taken forward as a separate piece of work. The following objectives were achieved to fulfil this research requirement: A systematic review of the available literature to identify key monitoring and intervention steps applicable in the UK for manufacturers of cooked sliced meats with regard to listeria was conducted. Information was collected and analysed on the cooked sliced meat industry’s practices and attitudes towards cleaning and monitoring with regard to listeria, slicing and packing methods, risk management practices and evidence supporting product shelf-life. Information relating to the inspection of cooked sliced meat premises by local food authorities was collected and analysed. The approach that end users would find most useful if the outputs of this project are used to develop guidance on the management of listeria during cooked sliced meat production was established and recommendations for future work were made."	"The FSA’s Foodborne Disease Strategy for 2010 to 2015 identifies L. monocytogenes as a priority for action, as it is the leading cause of death from foodborne disease. Therefore, finding ways to reduce exposure of vulnerable consumers to Listeria in ready-to-eat food remains important. In terms of the number of microbiological incidents reported to the FSAA each year, those involving listeria are the second most frequent after incidents involving salmonella. Approximately 30% of incidents involving listeria reported to the FSA between 2005 and 2011 involved ready-to-eat sliced meats. The frequency of incidents indicates that more work is required to understand the sampling and testing regimes used by manufacturers, particularly small to medium-sized enterprises (SMEs) of ready-to-eat food and their approaches to controlling listeria in the food supply chain."	"Hutchison Scientific Ltd"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS101036"	"A critical review of methods for distinguishing infectious and non-infectious norovirus"	"http://www.food.gov.uk/science/research/foodborneillness/b14programme/b14projlist/fs101036"	"2012"	"2012"	"This study helped to identify potential approaches to assist with the interpretation of norovirus RT-PCR results. The work involved a short critical literature review to identify: the methods currently used to detect norovirus in food, the environment and clinical samples the methods in the pipeline or on the horizon the methods or approaches that could be capable of distinguishing infectious and non-infectious norovirus the methods or approaches capable of assessing the integrity of norovirus capsid or RNA as a surrogate for infectivity This review considered all detection and quantification methods, including molecular techniques. Each was critically assessed for their respective strengths, weaknesses and their capacity to distinguish between infectious and non-infectious norovirus particles. The levels of norovirus detected in food by RT-PCR are lower than those in clinical samples and this was taken into account in assessing the different approaches and options. Each approach identified was assessed for the feasibility of their use in routine laboratories and applicability to testing in real food systems. The review also identified research/knowledge gaps in this area and made recommendations for future work."	"The conclusion of the Second Study of Infectious Intestinal Disease in the Community (IID2 Study) confirmed a high burden of intestinal viral disease in the UK, particularly that caused by norovirus. Person-to-person spread is a key transmission route for norovirus, although food contaminated at source, or by infected food handlers, is also frequently associated with outbreaks of disease and probably sporadic cases. There are significant gaps in our knowledge of how norovirus is able to survive and remain infectious in food, and on surfaces in kitchens. Current detection methods for norovirus use reverse transcriptase polymerase chain reaction (RT-PCR) to detect and estimate the titre of norovirus present in food or environmental samples. Enzyme-linked immunosorbent assay (ELISA) methods are also available but are considered to be less sensitive. While the molecular methods are able to detect and in some cases quantify the amount of norovirus RNA present, they do not provide information on whether or not the detected virus is capable of causing human infection or the degree of any degradation/damage to the RNA or capsid. It is not possible to culture norovirus and other viruses (feline calicivirus, murine norovirus) tend to be used as surrogates for norovirus in in vitro studies. In the absence of human volunteer studies to assess infectivity, other approaches need to be explored to assist the interpretation of the findings from molecular-based testing of food and or the environment. It has been suggested that assessing the condition of the norovirus capsid might provide an indication of the degree of protection for norovirus RNA detected by RT-PCR. However, the applicability and practicality of this approach for food and environmental samples is likely to require further investigation."	"Leatherhead Food Research"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS101074"	"A critical review of the effects of heat, pH and water activity on the survival of hepatitis A and E viruses"	"http://www.food.gov.uk/science/research/foodborneillness/b14programme/b14projlist/fs101074"	"2013"	"2014"	"This critical review draws together our current knowledge on the survival characteristics of hepatitis A and E, especially on foods and contact surfaces. The approach to this desk-based review was to undertake a database search to identify relevant literature detailing the effects of heat, pH and water activity on the survival of hepatitis A and E viruses. Searching the databases (Medline, CAB Abstracts, Biosis, Food Science and Technology Abstracts) identified 487 articles, with further refinement providing 129 articles selected for review. An additional 39 publications were added over the lifetime of this project, totalling 168 articles within this final review. Papers included: • studies on hepatitis A or E survival or elimination • data for food, surfaces, water • data from studies on the effect of heat on hepatitis A in therapeutic products Papers excluded: • data on other viruses • data on putative surrogate viruses Quantitative datasets from these articles were aggregated to provide a meta-analysis on the survival of hepatitis; this analysis was performed on the effects of heat on hepatitis A, being the only virus-factor combination with sufficient data published. Statistical analysis was performed on time to first log10 reduction (TFL) values for hepatitis A (144 datasets on infectivity and 11 sets on genome degradation) as a function of temperature, using a linear regression model. ."	"Human enteric viruses are a major cause of infectious intestinal disease (IID), with foodborne transmission thought to be an important route of infection. However, foodborne transmission of hepatic viruses (eg hepatitis A and hepatitis E) is becoming an increasing public health concern which raises questions regarding the survival of these viruses in a range of different foods. Hepatitis A outbreaks have previously been reported; these have been associated with such foods as berry fruits (including strawberries), shellfish, vegetables and sun-dried tomatoes. Hepatitis E transmission has also been implicated in illness involving strawberries and shellfish, although hepatitis E is more commonly associated with undercooked pork meat and processed pork products (including figatellu; an uncooked or smoked pig liver sausage). There are significant knowledge gaps regarding survival of hepatitis A and E viruses in different foods, fomites (any object or substance capable of carrying infectious organisms) and the environment. However, there are indications within the literature that these hepatic viruses are capable of prolonged survival under certain conditions and may survive conventional cooking processes."	"Fera (contractor) with University of Liverpool, University of Barcelona, Wageningen University and Research centre, The Netherlands, and University of Lorraine, France (sub-contractors)"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS101120"	"A critical review on the survival and elimination of norovirus in food and on food contact surfaces"	"http://www.food.gov.uk/science/research/foodborneillness/b14programme/fs101120"	"2014"	"2015"	"The review scrutinised the relevant publications, and produced a critical narrative summary of the studies they described, bringing out their strengths and weaknesses where they are apparent, and linking salient common features of the information to highlight key aspects of norovirus survival characteristics and the structural features which underlie them. The review also identified the key knowledge gaps and made recommendations on how to fill them where the abilities of current technology indicate that it is feasible to do so. The approach was based on review of scientific literature, information from grey literature such as industry-related publications, conference proceedings, and other sources. Any relevant sources of information since the first identification of norovirus in 1968 were reviewed. The review made use of the evidence review database containing relevant data extracted from published norovirus survival studies in FSA project FS241043 and included more recent publications."	"Norovirus is a major foodborne pathogen but little is definitively known about its environmental robustness or its response to elimination and disinfection procedures.  This critical review  provided an in-depth examination of published studies and other relevant information to determine the survival characteristics of norovirus in foods and on food contact surfaces, whether the food matrix or surface structure affects norovirus survival or inactivation, and whether chemical or physical treatments (heat, freezing, pH, disinfectants, etc.) are effective in reducing or eliminating norovirus in the food chain.  The critical review also discussed what may be inferred regarding the effectiveness of current disinfection procedures and whether these are appropriate for control of norovirus contamination of foods, and in food production and preparation environments."	"Food and Environment Research Agency (FERA)"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS102121"	"A microbiological survey of campylobacter contamination in fresh whole UK-produced chilled chickens at retail sale (Y2/3/4)"	"http://www.food.gov.uk/science/research/foodborneillness/b14programme/b14projlist/fs102121"	"2015"	"2018"	"This new survey will extend the year 1 survey for up to an additional 36 months, including yearly breakpoints, and will investigate the prevalence and levels of campylobacter contamination in fresh whole chilled chickens and on the outside surface of the packaging at retail using the enumeration method, and will provide valuable information on campylobacter levels post slaughter. Although the survey will take into consideration seasonal fluctuations in campylobacter prevalence in retail chickens, this is secondary to the surveys primary function to analyse prevalence among retailers. To draw any definitive conclusions regarding seasonality, we will require data from a number of separate years. The continuation of the retail survey for up to another 36 months additionally intends to identify trends as a result of specific retailer initiatives, such as improvements in biosecurity on farm or processing interventions. Objectives To determine the prevalence and levels of Campylobacter spp. contamination on fresh whole chilled chickens produced in the UK and sold at UK retail outlets by sampling up to a 36 month period, including annual breakpoints. To determine the prevalence and levels of Campylobacter spp. contamination found on the outside packaging of samples collected under objective 1. To identify Campylobacter spp. present and determine susceptibility of an agreed percentage of isolates to a defined range of antimicrobial agents. To collect information from each sample on a range of factors including bird weight, rearing method and type of packaging and determine any correlation with campylobacter contamination. In total, 4,000 fresh, UK-produced chickens will be sampled per 12-month period. These samples will be taken evenly over a 12-month period unless agreed otherwise. Chickens will be sampled from each UK country proportionally to its retailer market share figures. The survey results will be published under the Code of Practice for Official Statistics on a quarterly basis. This entails restricted access to raw data and pre-release publication documents. At the end of the survey, the results and all the information that has been collected about all of the samples taken for the whole survey period will be published on the Agency’s website."	"The original 'Microbiological Survey of Campylobacter contamination in fresh whole chilled chickens at retail sale' (FS241044) was carried out in 2014/15. See the final results published in May 2015 . There have been some recent developments in industry and retailer efforts to tackle campylobacter. An ongoing survey will continue to provide a robust baseline against which any future changes can be measured and whether any interventions implemented in year 1 make an impact in year 2, and so on. The results from ongoing sampling will allow the FSA and the food industry to see what impact they have had. It is expected that subsequent annual surveys will continue to monitor campylobacter prevalence and levels. It is hoped that a decrease in the numbers of the most heavily contaminated chickens (>1,000 cfu/g), will act to incentivise the retail and poultry industries to develop successful interventions with pace."	"Public Health England (PHE)"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS101048"	"A novel bacterial defence system against antimicrobial peptides.."	"http://www.food.gov.uk/science/research/foodborneillness/b14programme/b14projlist/fs101048"	"2013"	"2016"	"The main objective of this project is to determine the function of each of the components involved in the complex CAMP resistance system and its contribution to the colonisation of the chicken. The campylobacter CAMP resistance system consists of a membrane-bound sensor protein and a small DNA binding protein which controls the expression of three genes encoding an inner membrane protein, an outer membrane anchored lipoprotein and a periplasmic protein, as well as certain disulphide bond (Dsb) genes and genes that are involved in peptide transport and metabolism. This is the project approach: investigate the mechanism of action of the lipoprotein and determine if it provides resistance to structurally diverse CAMPs determine the roles of the uncharacterised genes determine the role of the Dsb system in CAMP resistance investigate the connection between peptide transport and CAMP transport and degradation determine the importance of this system in vivo by chicken colonisation studies"	"Campylobacter is the most commonly reported bacterial cause of infectious intestinal disease in the UK and the leading cause of bacterial food poisoning. Poultry are a major source of infection through undercooked meat. In order to begin to control campylobacter infection in chickens, and reduce the risk of food poisoning, it is important to have a better understanding of how campylobacter interacts with both its chicken and human host. Cationic antimicrobial peptides (CAMPs) form a crucial defence against bacteria. CAMPs can be produced by the host, which insert themselves into the membrane of the bacteria to create a pore. The bacterial contents leak out of the pore which causes the death of the bacteria. However, campylobacter can be highly resistant to this action. This is because the bacterium uses a novel defence system, in the presence of these peptides, in which it positions a protein at its surface which binds the peptides and stops them getting to the cell membrane. This project aims to understand the details of how campylobacter is able to sense and respond to antimicrobial peptides, how the binding protein works and the role of some other proteins that are also controlled by this system."	"University of Sheffield"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS241052"	"A quantitative assessment of consumers’ attitudes towards raw meat decontamination treatments"	"http://www.food.gov.uk/science/research/foodborneillness/b14programme/b14projlist/fs241052"	"2011"	"2012"	"The objective of this research was to collect quantitative data on: the UK consumers' understanding and awareness of campylobacter their attitudes towards potential slaughterhouse treatments for reducing contamination in raw meat (specifically poultry and beef) their attitudes towards messages designed to prevent the risk of cross-contamination in the home The project involved a three-stage approach: scoping, primary research and a survey. The scoping stage consisted of a brief review of existing literature on the subject of consumer attitudes/understanding of food safety, food practices, production processes and treatment options. The review highlighted gaps and limitations in the existing literature and captured methodological insights that were used to inform the following research stages. Qualitative work in the form of two focus groups was used to inform survey question development. This helped to achieve an understanding of how different content, language and tonal decisions were likely to affect responses to the survey questions. Once the questionnaire was finalised a cognitive testing stage followed by a small pilot survey were undertaken to ensure the questions were clearly understood and the responses could be captured without any problems. The main stage survey involved face to face interviews with over 2000 respondents across the UK using a robust random probability design. The survey included collection of key demographic data. The survey response data was analysed to explore differences in views between different subgroups of the population and relationships between the data."	"The Agency has a strategic priority to reduce foodborne disease, tackling campylobacter in chicken as a priority. Identification and implementation of practical and effective interventions to reduce campylobacter in chicken is key to achieving this. Decontamination treatments applied to raw meat in the slaughterhouse could potentially have a significant effect in reducing the exposure of consumers to campylobacter and other foodborne pathogens. The FSA’s campylobacter citizens’ forums, held in 2010, gathered qualitative information on UK consumers’ awareness of campylobacter and their purchasing habits. It also looked at the acceptability of interventions to control campylobacter at farm, processing and retail level. The findings indicated further focused research was required in order to have a more robust, quantitative assessment of consumers’ attitudes towards potential slaughterhouse decontamination treatments for raw meat. This more detailed exploration of consumers’ attitudes will help inform the Agency's campylobacter risk management programme as well as discussions in Europe on permissible decontamination treatments for meat."	"GfK NOP Social Research"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS241043"	"A systematic review of the survival of norovirus in foods and on food contact surfaces"	"http://www.food.gov.uk/science/research/foodborneillness/b14programme/b14projlist/fs241043"	"2012"	"2014"	"A systematic review of the persistence and survival of human noroviruses (hNoVs) in foods and the environment was carried out based upon PRISMA guidelines. Over 10,000 citations relevant to viruses present in foods and the environment were screened using defined inclusion and exclusion criteria from which 126 citations were identified for further evaluation. Persistence data from each of these publications were extracted for the conditions of the treatment (chemical dose, pH, and temperature, time, infectivity, and Real-Time quantitative polymerase chain reaction (RT-qPCR) results). The only marker for hNoV persistence and survival is RTqPCR data and clinical studies. Therefore citations for inclusion were further restricted to only those that included hNoV RT-qPCR studies, in direct comparison with surrogate virus RT-qPCR and infectivity data; and also data from clinical trials. This resulted in 27 eligible laboratory-based studies and 3 clinical trials. Eligible studies were diverse and utilised different experimental approaches and methods. Few data were relevant to persistence and survival of hNoVs in real foods and on food contact surfaces. Data were further extracted for common treatments (heat and available chlorine) and for important additional experimental variables such as the matrix and RT-qPCR product size."	"Human NoVs are currently recognised as the single most common cause of acute non-bacterial gastroenteritis in the industrialised world. Genogroup II, genotype 4 (GII.4) strains of hNoV are detected most commonly in association with human disease, although there is a greater diversity of genotypes associated with foodborne outbreaks. Most hNoV foodborne disease outbreaks are associated with consumption of food outside of the home, where poor hygiene of infected food handlers is the major source of contamination. Contamination of fresh produce (eg berries, leafy greens) may be associated with human handling or the use of raw sewage or contaminated water during production or processing. Additionally, hNoV disease is highly contagious and shows rapid person-to-person transmission directly or indirectly through the faecal-oral route, from contaminated fomites and from aerosolized vomitus. Effective control measures for water treatment, food processing, cleaning and disinfection of surfaces, personal hygiene and hand washing, and/or sanitation are required in order to control the spread of hNoV along the food chain. However, the effectiveness of control measures to reduce the burden of foodborne norovirus infections remains largely unknown, partly because of the inability to grow the virus and partly due to the large number of surrogate studies of unknown relevance."	"Leatherhead Food Research/University of Ghent Evicom"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS101025"	"An evaluation of freezing as an intervention to reduce the numbers of campylobacters isolated from chicken livers"	"http://www.food.gov.uk/science/research/foodborneillness/b14programme/b14projlist/fs101025"	"2012"	"2013"	"This research project aimed to establish the impact of freezing on campylobacter contamination levels, following thawing and subsequent storage. It also looked at the impact of a second freezing treatment. It: used international standard methods for campylobacter enumeration and took into account the impact of freezing on recovery examined chicken livers sourced from a selection of UK retail outlets and catering suppliers and provided an indication of the levels of contamination present. The sample consisted of 30 livers and detailed information on the products (brand, ‘use by’ date, product code, etc) have been recorded used livers which have not previously been frozen to determine whether freezing for 24-hours or seven days reduced the campylobacter count in chicken livers and by how much identified whether a subsequent (second) freeze reduced levels further assessed whether different freezing temperatures, between the range of -15°C and -25°C (i.e. those of domestic freezers versus commercial freezers) had an impact on campylobacter levels assessed the impact of storage at 4oC for 24- and 48-hours on campylobacter levels, post-thaw will retain representative pre- and post-freezing isolates for at least 12 months and make these available for other FSA-funded studies if required"	"Campylobacter, often found in poultry, is the most common cause of food poisoning in the UK. There has been a notable increase in reported human outbreaks of campylobacter in the UK in recent years. Most of these incidents have been associated with chicken liver pâté or parfait, prepared in catering settings. In 2011, over 90% of outbreaks of campylobacter food poisoning at catering venues were linked to chicken liver pâté consumption (HPA 2011). Strachan et al. (2012) have reported that strains of campylobacter from chicken liver were most similar to those found in humans. The reason for the recent increase is not fully understood but appears to be related to the use of undercooked livers in preparing pâté and parfait dishes. Campylobacter levels up to 10 4 cfu/g have been reported in uncooked chicken livers. Campylobacter spp. in poultry meat are known to be sensitive to freezing and this work has assessed the impact of freezing on the levels present in chicken livers. Freezing is a proven effective intervention to control campylobacter contamination of poultry meat. However, there has been a lack of evidence on how effective this treatment is with chicken livers, particularly under conditions similar to those in catering or domestic kitchens where freezer temperatures and freezing rates may vary."	"University of Bristol"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS101072"	"Application of whole genome sequencing to fully characterise campylobacter isolates from IID1 and IID2 studies"	"http://www.food.gov.uk/science/research/foodborneillness/b14programme/b14projlist/fs101072"	"2014"	"2015"	"The overall aims of this study were to: fully characterise UK campylobacter strains associated with human campylobacteriosis by whole genome sequencing using Next Generation Sequencing (NGS) technologies identify markers to assist with source attribution by integration of the data from IID study strains with published data obtained from non-human sources and genome data being derived from current funded projects at Liverpool Genomic DNA from all of the campylobacter isolates from the IID1 and IID2 studies were isolated. All isolate genomes were then subjected to sequencing of paired-end libraries using the Illumina MiSeq platform. After this initial run, the genomes of a sub-set of isolates (approximately 25) were improved using a PacBio approach. Using this combination approach we constructed a comprehensive genome sequence data-set from the IID isolates, and these data were submitted to a publically accessible database. We also extracted and analysed MLST data from the IID isolates, in order to place the collection in the context of previous studies. Both MLST and genomic data were used to compare between the IID1 and IID2 collections. The major outcomes of the study were: a comprehensive genome sequence dataset from the IID isolates, submitted to a publically accessible database analysis of MLST data from the IID isolates to place the collection in the context of previous studies based on MLST genome-wide phylogenetic analysis of the IID strains compared to others available in the wider database (and our parallel studies involving isolates from the environment, wildlife and farm animals) In addition, we considerably enhanced the community’s knowledge on what constitutes the core genome of campylobacter, especially in relation to isolates associated with human infections, with the potential to link variations between strains (either in accessory genome content, or in SNP variations within the core genome) with other factors such as putative source or, potentially, clinical severity, as well as other important phenotypes, such as survival characteristics in the environment or during food processing."	"Campylobacter is the most common cause of acute bacterial gastroenteritis worldwide. In the UK alone it causes an estimated 500,000 infections each year. There have been two large studies of Infectious Intestinal Disease in the UK community (IID1 in the mid 1990s and IID2 in 2008-2009). Campylobacter was identified as the most common bacterial pathogen amongst patients presenting to primary care. Although there was little variation in the burden of illness between the two studies, the molecular epidemiology of the campylobacter isolates from these studies has not been investigated. MLST and (WGS) comparative analyses can be used to understand not only the epidemiology and any variations between the two survey periods, but also the potential sources for transmission of the pathogen to humans, by comparison with isolates from the environment, wildlife and farm animals."	"University of Liverpool"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
