"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_MORE_INFO"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"agency_index__aid"	"comment"
"SF6082"	"Survey of norovirus incidence in fresh produce and raw bovine milk in Ontario"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2009/sf6082.htm"	""	""	"To use an optimized and validated real time RT-PCR method to investigate the incidence of NoV in the food supplies in Ontario. The data acquired from this research can be used for risk assessment analyses and for assessing the need for future surveillance programs in Ontario. It will assist in science-based decision-making process related to NoV, and help to establish control measures of NoV in Ontario's food supply. This in turn will enhance food safety in Ontario."	"To investigate the incidence of human norovirus in fresh produce from Ontario production with focus on leafy greens which require frequent irrigation. To investigate the incidence of human norovirus in imported fresh produce, particularly those imported through winter months. To investigate the incidence of human, and bovine norovirus in Ontario's bovine raw milk. To investigate the possibility of human/bovine recombination norovirus in Ontario's bovine raw milk."	"University of Guelph - Laboratory Services Division"	"Chen, Shu"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2009/sf6082.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6083"	"Comparison of Salmonella Enteritidis from human and poultry sources using multi-locus variable number of tandem repeats analysis (MLVA)"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2009/sf6083.htm"	""	""	"This study will further contribute to the current evaluation of MLVA for epidemiological investigations of SE and support existing evidence that poultry products are linked to human salmonellosis. Data will support risk assessment methodologies for the development of policies promoting the production of safe poultry products to reduce human SE infections in Ontario."	"To evaluate the discriminatory power of MLVA and to assess the SE MLVA type diversity found across a variety of potential human infection sources, with the final objective of assessing the exact value of MLVA when combined with phage typing for source attribution in human Salmonellosis investigations in Ontario and Canada. To assess if poultry products are linked to human Salmonellosis by comparing phage types, PFGE, and MLVA profiles from SE of human, poultry, and other origins from Ontario and other provinces."	"University of Guelph"	"Boerlin, Patrick"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2009/sf6083.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6079"	"Use of probiotic bacteria for controlling Salmonella infection in broiler chickens"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2009/sf6079.htm"	""	""	"To successfully develop the isolates into high quality probiotics for controlling Salmonella infection in poultry. Since S. Typhimurium is one of the major serotypes associated with poultry production in Ontario, the success of the proposed study targeting this pathogen would enhance the production of safe chickens for Ontarians."	"To enhance the production of safe chickens through the development and use of probiotics to reduce the flock level of S. Typhimurium infection."	"Agriculture and Agri-Food Canada"	"Gong, Joshua"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2009/sf6079.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6062"	"Control of salmonella in market hogs using immunization"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6062.htm"	""	""	"At present it is difficult to convince producers to pay for vaccination because there is no financial reward for producing Salmonella-free pigs but this research might be able to show a cost-benefit in terms of growth rate advantage."	"To determine if autogenous vaccines or a commercial live vaccine can reduce the prevalence of Salmonella shedding in market weight hogs under field conditions. To determine if Salmonella vaccination can improve growth performance such that it is a cost effective procedure on commercial swine farms where Salmonella Typhimurium is a proven problem."	"University of Guelph"	"Friendship, Robert"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6062.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6063"	"Evaluating the effectiveness of intervention strategies for salmonella in broiler production in Ont.: A systematic review and risk assessment approach"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6063.htm"	""	""	"The study deliverables generated through this specific project proposal will allow the Ontario poultry industry and other policy makers to make an informed decision regarding potential control options and to better negotiate the food safety and trade aspects of the issue of Salmonella in poultry. Baseline and risk factor data generated through previous Salmonella projects in Ontario and Canada, including where available those funded by OMAFRA and/or the Poultry Industry Council, will be integrated into the assessment of mitigation strategies and potential farm to slaughter control approaches for Salmonella. This evidence-based approach for ranking scientific information and risk based approach for assessing control options will enhance consumer confidence in the poultry-related food safety policy development in Ontario and Canada. Major data gaps will be identified as well as research needs in this area."	"Generate an evidence-based, ranked list of potential 'farm-to-processing' interventions against Salmonella in broilers, and their estimated impacts on Salmonella reduction. Develop a quantitative risk assessment to refine and select optimal interventions, and to evaluate the effectiveness of interventions against Salmonella within the environment of the Ontario broiler production (farm-to-processing). Identify current gaps in knowledge and future research needs. Provide recommendations to the Ontario poultry industry regarding the optimal combination of control measures to deliver the most effective and feasible control approach for Salmonella in broilers from farm-to-processing."	"University of Guelph"	"McEwen, Scott"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6063.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6064"	"Cadmium in field crops: integration of soil factors, genetics and weather into process-based predictive models"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6064.htm"	""	""	"A predictive model for accumulation of Cd from Ontario soils into varieties of soybean and leaf lettuce that identifies the points of control for this contaminant, and the integration of this predictive model into a Best Management Plan for producers."	"To proportion variation in Cadmium (Cd) accumulation in soybean and a leafy green crop among cultivar, soil characteristics known to control Cd bioavailability, and soil-plant water usage; and To integrate this knowledge into recommendations for field production practices that reduce soil-human transfer of Cd through direct or indirect ingestion of these plant products."	"University of Guelph"	"Hale, Beverley"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6064.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6065"	"Novel microbiological methods to assess the safety of leaf lettuce"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6065.htm"	""	""	""	"To adapt and verify the performance and validity of two independent, alternative methods for the detection and classification of fecal coliforms and E. coli in leafy lettuce and in soil samples from the production environment. To determine whether so-derived measurements will detect time-related changes in types of coliform bacteria / E. coli that can provide an estimate of time elapsed since a contamination event. The latter will be verified under controlled field conditions and in commercial lettuce from Ontario."	"BC"	"Delaquis, Pascal"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6065.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6066"	"Controlling salmonellosis in broiler chickens using a multivalent attenuated vaccine that also controls necrotic enteritis"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6066.htm"	""	""	"The proposed work will benefit the Ontario Food Safety System by enhancing its ability to control necrotic enteritis in broiler chickens without using antimicrobial drugs, thus reducing production costs, and at the same time providing a simple method to reduce carcass or product contamination by Salmonella, thus enhancing the safety of chicken products. It would also be the ""proof of concept"" for potential application of this vaccine strain to control of other enteric bacterial infections of broiler chickens, such as Campylobacter, while simultaneously controlling salmonellosis."	"To assess the benefit of an attenuated Salmonella-based necrotic enteritis vaccine in reducing colonization and shedding of broiler chickens by different serovars of Salmonella."	"University of Guelph"	"Prescott, John"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6066.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6067"	"Role of protozoa in the persistence and amplification of campylobacter in poultry houses"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6067.htm"	""	""	"The study will increase our understanding of protozoan interaction with Campylobacter and its potential to prolong this pathogen's persistence through protection and amplification. The animal challenge studies will also aid in understanding if the relationship of protozoa and Campylobacter might increase infectivity. The results have clear application to assessing and managing risks of Campylobacter in poultry rearing and could lead to new and more effective bio-control measures to control Campylobacter prevalence."	"Isolate and characterize the Campylobacter and protozoa present in water supplies, waterpipe biofilms, flock feces and flock ceca. Perform feeding experiments to determine if the protozoa present on the farm can take up, amplify and potentially harbor isolated Campylobacter strains; assess comparative resistance to control measures. Using the broiler colonization model, assess potential for increased risk of infection when Campylobacters are enclosed inside protozoa compared to equivalent dose of bacteria alone."	"University of Ottawa"	"Stintzi, Alain"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6067.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6068"	"Development and application methods for detection of Clostridium difficile in retail meat"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6068.htm"	""	""	"Determination of optimal techniques to detect and quantify C. difficile in meat is required for studies evaluating retail meat and the role of food in C. difficile-associated diarrhea (CDAD). This will complement studies evaluating community-associated CDAD and provided needed information for determination foodborne risks. This is important for human health and for the agricultural industry. Determination of a low risk would help control concerns about the safety of meat products. In contrast, if C. difficile is determined to be a relevant foodborne pathogen, information regarding testing is required for ongoing research aimed at identifying and controlling sources of contamination. Therefore, much of the information that is needed regarding C. difficile and food requires objective evaluation of testing methodologies."	"To compare methods for qualitative detection of C. difficile in retail meat. To determine the detection threshold of C. difficile detection for different methods. To determine compare methods for quantification of C. difficile in retail meat. To determine optimal methods for quantitative and qualitative detection of C. difficile in meat based on sensitivity, repeatability, cost and ease. To determine the prevalence of C. difficile in retail meat products using optimal standardized protocols. To quantify C. difficile levels in retail meat products. To characterize C. difficile isolates from retail meat and compare them to strains found in humans and animals. To determine whether multiple C. difficile strains are present in contaminated retail meat products."	"University of Guelph"	"Weese, Scott"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2007/sf6068.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6047"	"Concentration and detection of pathogens in bean sprout spent irrigation water using microfiltration coupled with electrochemical immuno-sensors"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htm"	""	""	"To provide a technology that can both concentrate and detect contamination (if present) within large volumes (10 litres) of spent irrigation water in a semi- or fully automated rapid (4 h) process.  This will facilitate on-site testing enabling the sprout producer to screen irrigation water later into the sprouting process when pathogen levels (if present) will be high."	"Optimize E. coli 0157:H7 and Salmonella recovery using tangential flow membranes. Construct and optimize electrochemical immuno-sensor flow cell. Assess the impact of matrix affects on pathogen recovery and detection. Validate the integrated system to detect pathogens introduced into spent irrigation water and sprouting mung bean beds. Assess the performance by introducing target pathogens in spent irrigation water derived from commercial sprout operations."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6048"	"Bacteriophage based interventions to reduce the dissemination of Salmonella in pork production, during transportation and holding"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6048.htm"	""	""	"To provide a greater understanding on the role of bacteriophage on the population dynamics of Salmonella associated with pigs. To provide a relatively simple control strategy to ultimately reduce the carriage of Salmonella on pork carcasses."	"Determine the prevalence of Salmonella infecting bacteriophage (lytic and lysogenic) in pig fecal and environmental samples taken from selected farms across Ontario. Determine the host-specificity of isolated Salmonella infecting bacteriophage against a range of isolates derived from pigs and compare with existing lytic Salmonella infecting bacteriophages in collaborators’ collections. Determine the influence of bacteriophage activity on the genetic structure (temporal stability and diversity) of Salmonella populations with specific reference to the possible generation of resistant mutants. Evaluate the stability and replication of isolated bacteriophage within and outside the host environment. Evaluate the utility of bacteriophage to control levels of Salmonella in pigs and the environment during the production phase, transportation and holding prior to processing."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6048.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6047"	"Concentration and detection of pathogens in bean sprout spent irrigation water using microfiltration coupled with electrochemical immuno-sensors"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htm"	""	""	"To provide a technology that can both concentrate and detect contamination (if present) within large volumes (10 litres) of spent irrigation water in a semi- or fully automated rapid (4 h) process.  This will facilitate on-site testing enabling the sprout producer to screen irrigation water later into the sprouting process when pathogen levels (if present) will be high."	"Optimize E. coli 0157:H7 and Salmonella recovery using tangential flow membranes. Construct and optimize electrochemical immuno-sensor flow cell. Assess the impact of matrix affects on pathogen recovery and detection. Validate the integrated system to detect pathogens introduced into spent irrigation water and sprouting mung bean beds. Assess the performance by introducing target pathogens in spent irrigation water derived from commercial sprout operations."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6048"	"Bacteriophage based interventions to reduce the dissemination of Salmonella in pork production, during transportation and holding"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6048.htm"	""	""	"To provide a greater understanding on the role of bacteriophage on the population dynamics of Salmonella associated with pigs. To provide a relatively simple control strategy to ultimately reduce the carriage of Salmonella on pork carcasses."	"Determine the prevalence of Salmonella infecting bacteriophage (lytic and lysogenic) in pig fecal and environmental samples taken from selected farms across Ontario. Determine the host-specificity of isolated Salmonella infecting bacteriophage against a range of isolates derived from pigs and compare with existing lytic Salmonella infecting bacteriophages in collaborators’ collections. Determine the influence of bacteriophage activity on the genetic structure (temporal stability and diversity) of Salmonella populations with specific reference to the possible generation of resistant mutants. Evaluate the stability and replication of isolated bacteriophage within and outside the host environment. Evaluate the utility of bacteriophage to control levels of Salmonella in pigs and the environment during the production phase, transportation and holding prior to processing."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6048.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6049"	"Mycotoxin detection in foods using electrochemical sensors based on affinity molecules incorporated into conducting polymer films"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6049.htm"	""	""	"The system developed will enable detection of ppb levels of mycotoxins within 30 mins with minimal user input.  It can be envisaged that the system to be developed can be fully automated and enable multi-analyte detection."	"Optimize mycotoxin recovery from barley, corn, wheat, soybean, feed and apple juice. Develop a mycotoxin extraction method based on molecular imprinted conducting polymer films and micro-extraction/preconcentration devices (with high selectivity and binding capacity). Develop impedimetric mycotoxin sensors based on imprinted or affinity agent (antibodies, DNA or albumin) modified conducting polymer films. Monitor mycotoxin binding to the modified conducting polymer films using impedance and complementary electrochemical techniques. Validate sensor performance is detecting low levels of mycotoxins in natural and artificial contaminated samples."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6049.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6047"	"Concentration and detection of pathogens in bean sprout spent irrigation water using microfiltration coupled with electrochemical immuno-sensors"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htm"	""	""	"To provide a technology that can both concentrate and detect contamination (if present) within large volumes (10 litres) of spent irrigation water in a semi- or fully automated rapid (4 h) process.  This will facilitate on-site testing enabling the sprout producer to screen irrigation water later into the sprouting process when pathogen levels (if present) will be high."	"Optimize E. coli 0157:H7 and Salmonella recovery using tangential flow membranes. Construct and optimize electrochemical immuno-sensor flow cell. Assess the impact of matrix affects on pathogen recovery and detection. Validate the integrated system to detect pathogens introduced into spent irrigation water and sprouting mung bean beds. Assess the performance by introducing target pathogens in spent irrigation water derived from commercial sprout operations."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6049"	"Mycotoxin detection in foods using electrochemical sensors based on affinity molecules incorporated into conducting polymer films"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6049.htm"	""	""	"The system developed will enable detection of ppb levels of mycotoxins within 30 mins with minimal user input.  It can be envisaged that the system to be developed can be fully automated and enable multi-analyte detection."	"Optimize mycotoxin recovery from barley, corn, wheat, soybean, feed and apple juice. Develop a mycotoxin extraction method based on molecular imprinted conducting polymer films and micro-extraction/preconcentration devices (with high selectivity and binding capacity). Develop impedimetric mycotoxin sensors based on imprinted or affinity agent (antibodies, DNA or albumin) modified conducting polymer films. Monitor mycotoxin binding to the modified conducting polymer films using impedance and complementary electrochemical techniques. Validate sensor performance is detecting low levels of mycotoxins in natural and artificial contaminated samples."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6049.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6050"	"Development of an effective enzyme product to detoxify trichothecene mycotoxins in contaminated grains"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6050.htm"	""	""	"The proposed research should pave the way to the development of innovative, highly specific and safe decontamination methods for trichothecene mycotoxins in feedstuffs and in food products, thus improving food safety and reducing the negative impact of trichothecene mycotoxins on public health. Notably, the technology to be developed in this study will serve as a platform for the ultimate detoxification of other trichothecene mycotoxins as well and will serve as a mean of protection against mycotoxin exposure in humans and farm animals."	"To characterize degradation bacteria: taxonomy, physiology of bacterial cells and enzyme activity. To optimize the conditions for growth and degradation by the selected bacteria. To scale up fermentation experiment (to 5 liters) and investigate the efficacy of fermentation of contaminated corn. To isolate and characterize the degradation enzyme(s). To develop and optimize the enzyme isolation process in a laboratory setting. To evaluate potential applications of the enzyme preparation(s) in different grains."	"Agriculture and Agri-Food Canada"	"Zhou, Ting"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6050.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6051"	"An integrated system for the detection and characterization of enteric viruses in ready-to-eat foods"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6051.htm"	""	""	"This universal approach to identification and characterization of foodborne viruses will allow for quicker response, control efforts, and better risk assessment and policy making activities to control the spread of foodborne viral diseases."	"The development of a universal, rapid, sensitive, and easy-to-use method for the isolation of viruses from ready-to-eat foods. The development of a multiplex RT-PCR technique for the simultaneous amplification and detection of noroviruses, rotaviruses, hepatitis A viruses and adenoviruses in a single assay. The design and assessment of a nucleic acid-based microarray platform to allow simultaneous detection and genotyping of the above listed enteric viruses."	"Health Canada"	"Bidawid, Sabah"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6051.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6047"	"Concentration and detection of pathogens in bean sprout spent irrigation water using microfiltration coupled with electrochemical immuno-sensors"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htm"	""	""	"To provide a technology that can both concentrate and detect contamination (if present) within large volumes (10 litres) of spent irrigation water in a semi- or fully automated rapid (4 h) process.  This will facilitate on-site testing enabling the sprout producer to screen irrigation water later into the sprouting process when pathogen levels (if present) will be high."	"Optimize E. coli 0157:H7 and Salmonella recovery using tangential flow membranes. Construct and optimize electrochemical immuno-sensor flow cell. Assess the impact of matrix affects on pathogen recovery and detection. Validate the integrated system to detect pathogens introduced into spent irrigation water and sprouting mung bean beds. Assess the performance by introducing target pathogens in spent irrigation water derived from commercial sprout operations."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6051"	"An integrated system for the detection and characterization of enteric viruses in ready-to-eat foods"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6051.htm"	""	""	"This universal approach to identification and characterization of foodborne viruses will allow for quicker response, control efforts, and better risk assessment and policy making activities to control the spread of foodborne viral diseases."	"The development of a universal, rapid, sensitive, and easy-to-use method for the isolation of viruses from ready-to-eat foods. The development of a multiplex RT-PCR technique for the simultaneous amplification and detection of noroviruses, rotaviruses, hepatitis A viruses and adenoviruses in a single assay. The design and assessment of a nucleic acid-based microarray platform to allow simultaneous detection and genotyping of the above listed enteric viruses."	"Health Canada"	"Bidawid, Sabah"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6051.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6052"	"Assessing the cost-effectiveness of alternative measures for reducing the prevalence of food-borne microbiological hazards in Ontario"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6052.htm"	""	""	"To contribute to the enhanced cost-effectiveness of interventions aimed at reducing the incidence of food-borne microbiological hazards through the food supply chain in Ontario and thus contribute to the more effective use of scarce resources in the control of food-borne illness by developing, validating and applying an economic cost-effectiveness framework."	"To design a framework to assess the cost-effectiveness of alternative measures for reducing the prevalence of key food-borne microbiological hazards in Ontario. To validate and apply this framework to measures aimed at reducing levels of contamination in priority pathogen/food contexts. To identify those factors influencing the cost-effectiveness of alternative measures for reducing the prevalence of food-borne microbiological hazards in priority pathogen food/contexts. To make recommendations to OMAFRA and other provincial and federal government agencies regarding the most cost-effective measures for reducing levels of contamination in priority pathogen/food contexts. To provide a framework that can be employed on an on-going basis by policy-makers in OMAFRA and other provincial and federal government agencies to assess the cost-effectiveness of alternative control strategies for food-borne pathogens along the supply chain other pathogen/food contexts."	"University of Guelph"	"Henson, Spencer"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6052.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6047"	"Concentration and detection of pathogens in bean sprout spent irrigation water using microfiltration coupled with electrochemical immuno-sensors"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htm"	""	""	"To provide a technology that can both concentrate and detect contamination (if present) within large volumes (10 litres) of spent irrigation water in a semi- or fully automated rapid (4 h) process.  This will facilitate on-site testing enabling the sprout producer to screen irrigation water later into the sprouting process when pathogen levels (if present) will be high."	"Optimize E. coli 0157:H7 and Salmonella recovery using tangential flow membranes. Construct and optimize electrochemical immuno-sensor flow cell. Assess the impact of matrix affects on pathogen recovery and detection. Validate the integrated system to detect pathogens introduced into spent irrigation water and sprouting mung bean beds. Assess the performance by introducing target pathogens in spent irrigation water derived from commercial sprout operations."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6052"	"Assessing the cost-effectiveness of alternative measures for reducing the prevalence of food-borne microbiological hazards in Ontario"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6052.htm"	""	""	"To contribute to the enhanced cost-effectiveness of interventions aimed at reducing the incidence of food-borne microbiological hazards through the food supply chain in Ontario and thus contribute to the more effective use of scarce resources in the control of food-borne illness by developing, validating and applying an economic cost-effectiveness framework."	"To design a framework to assess the cost-effectiveness of alternative measures for reducing the prevalence of key food-borne microbiological hazards in Ontario. To validate and apply this framework to measures aimed at reducing levels of contamination in priority pathogen/food contexts. To identify those factors influencing the cost-effectiveness of alternative measures for reducing the prevalence of food-borne microbiological hazards in priority pathogen food/contexts. To make recommendations to OMAFRA and other provincial and federal government agencies regarding the most cost-effective measures for reducing levels of contamination in priority pathogen/food contexts. To provide a framework that can be employed on an on-going basis by policy-makers in OMAFRA and other provincial and federal government agencies to assess the cost-effectiveness of alternative control strategies for food-borne pathogens along the supply chain other pathogen/food contexts."	"University of Guelph"	"Henson, Spencer"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6052.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6053"	"Antimicrobial photodynamic treatment for surface sanitation"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6053.htm"	""	""	"Development of new surface sanitation techniques for use in the agri-food industry. "	"Screening of available photosensitisers (PS) for their bacteriocidal effect against different types of food-related microorganisms: bacteria (both in planktonic form and biofilms), moulds, fungi, viruses. Selection of most effective PS for APDT for bacteria and viruses. Investigation of the mechanism of bacterial effect of APDT against bacterial biofilms, spores and viruses. Exploring possibility of incorporation of PS into surfaces and testing the “self-decontaminating” properties of the modified surfaces under incidental light illumination. Development and testing of experimental protocols for the most efficient photodynamic sanitation of surfaces."	"University of Guelph"	"Griffiths, Mansel"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6053.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
"SF6047"	"Concentration and detection of pathogens in bean sprout spent irrigation water using microfiltration coupled with electrochemical immuno-sensors"	"http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htm"	""	""	"To provide a technology that can both concentrate and detect contamination (if present) within large volumes (10 litres) of spent irrigation water in a semi- or fully automated rapid (4 h) process.  This will facilitate on-site testing enabling the sprout producer to screen irrigation water later into the sprouting process when pathogen levels (if present) will be high."	"Optimize E. coli 0157:H7 and Salmonella recovery using tangential flow membranes. Construct and optimize electrochemical immuno-sensor flow cell. Assess the impact of matrix affects on pathogen recovery and detection. Validate the integrated system to detect pathogens introduced into spent irrigation water and sprouting mung bean beds. Assess the performance by introducing target pathogens in spent irrigation water derived from commercial sprout operations."	"University of Guelph"	"Warriner, Keith"	"-1"	"-1"	"69"	"It is likely that the Lead researcher on this project does not exist in investigator data. Please follow the link http://www.omafra.gov.on.ca//english/research/foodsafety/2005/sf6047.htmto look for additional information about the investigator to be inserted into the database. The needed investigator fields are empty in this row."
